bucket,Alvin,Maria,DJ,Prediction,Tweet,Theme,Anno1,Anno2,Anno3,Appropriate_Theme,Comments,match
75-100,0,1,0,1,I did months ago now I don't have to wear a mask but soon I will have to cause our numbers are shit!!! Take the goddamn vaccine Tennessee!!! #GetVaccinated #PandemicOfTheUnvaccinated #COVID #COVIDIOTS #MaskUp #DeltaVariant #VaccinesWork @FoxNews @GOP @BillLeeTN @GovAbbott https://t.co/jrHKwQNkqj,UnjustifiedFearOfVax,,,1,,,TRUE
75-100,0,0,,1,"Now that Covid Numbers are rising. Some of y’all houses will start smelling like Lysol again 🙌🏾

#Lysol #DeltaVariant #Covid_19 #VaccinePassports #Vaccine #CovidVaccine",UnjustifiedFearOfVax,,,1,Other,CovidDanger,FALSE
75-100,0,0,,1,The king of distraction has most people forgetting about the distribution of the vaccine &amp; the tragically high death toll of Covid.  #dontbefooled,UnjustifiedFearOfVax,,,1,GovBadPolicies,,FALSE
top 25,1,1,,1,"New COVID vaccine appointments available for 04020 at Walgreen Drug Store, 151 MAPLE STREET, CORNISH, ME. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
top 25,1,1,,1,"New COVID vaccine appointments available for 77072 at Walgreen Drug Store, 8300 WILCREST DR, HOUSTON, TX. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
top 25,1,1,,1,"New COVID vaccine appointments available for 10022 at Duane Reade Drug Store, 1052-1055 1ST AVE, NEW YORK, NY. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
25-50,1,1,,1,"New COVID vaccine appointments available for 10016 at Duane Reade Drug Store, 401 PARK AVE S, NEW YORK, NY. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
25-50,1,1,,1,"New COVID vaccine appointments available for 21771. Go to Walgreen Drug Store, 415 EAST RIDGEVILLE BOULEVARD, MOUNT AIRY, MD https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
25-50,1,1,,1,"New COVID vaccine appointments available for 19709 at Walgreen Drug Store, 2470 N DUPONT PKWY, MIDDLETOWN, DE. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
50-75,1,1,,1,"New COVID vaccine appointments available for 00610 at Walgreen Drug Store, PR 2 &amp; PR 402, ANASCO, PR. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
50-75,1,1,,1,"COVID VACCINE APPOINTMENTS:

Jensen’s Pharmacy in Saline has ten appointments left for Moderna vaccine on Tuesday, 4/20.

https://t.co/WMPVv1S0cB",VaxAppointmentInfo,,,1,,,FALSE
50-75,1,1,,1,"New COVID vaccine appointments available for 58503 at Thrifty White Pharmacy, 900 NE 43rd Ave, Bismarck, ND. Make your appointment at https://t.co/Z3402YB91r",VaxAppointmentInfo,,,1,,,FALSE
75-100,1,1,,1,To make appointments for COVID-19 Vaccination follow this link https://t.co/WL4kSYyrAC,VaxAppointmentInfo,,,1,,,FALSE
75-100,1,1,,1,"New COVID vaccine appointments available for 78221 at Military and Pleasanton H-E-B, 735 Sw Military, San Antonio, TX. Make your appointment at https://t.co/XRQu3bBDUv",VaxAppointmentInfo,,,1,,,FALSE
75-100,1,1,,1,"New COVID vaccine appointments available for 84060 at Walgreen Drug Store, 950 IRON HORSE DRIVE, PARK CITY, UT. Make your appointment at https://t.co/W3ki0Bekd0",VaxAppointmentInfo,,,1,,,FALSE
top 25,1,1,,1,FDA Approval of Pfizer's Vaccine Didn't Lead to Spike in Vaccinations https://t.co/NwVj8BuyTL,VaxApprovalInfo,,1,1,,,FALSE
top 25,1,1,,1,Pfizer's COVID Vaccine Gets Full Approval From The FDA https://t.co/8ly4e8p0iv,VaxApprovalInfo,,,1,,,FALSE
top 25,1,1,,1,"JUST IN: @US_FDA confirms Johnson &amp; Johnson’s single-shot COVID-19 vaccine is safe and effective, paving the way for a potential EUA approval in the next week. The J&amp;J vaccine would be the third approved for use,and the first single-shot vaccine so far.",VaxApprovalInfo,,,1,,,FALSE
25-50,0,1,1,1,"That's no good. 

""Israel’s Ministry of Health announced that the effectiveness of the Pfizer-BioNTech vaccine was 64 percent against all coronavirus infections, down from about 95 percent in May, before the Delta variant began its climb""

https://t.co/JbFLoNG2Cv",VaxApprovalInfo,,,1,,,TRUE
25-50,0,1,1,1,"""CDC recommends additional COVID-19 vaccine dose for certain immunocompromised people""  https://t.co/RQXRMhocLc",VaxApprovalInfo,,,1,,,TRUE
25-50,1,1,,1,Pfizer’s covid vaccine gets full FDA approval. Get vaxxed! https://t.co/83W7ab7bcC,VaxApprovalInfo,,,1,,,FALSE
50-75,0,0,,1,Just received my first dose of the @pfizer COVID 19 vaccine at @NashvilleMCC! Very quick and easy process! #nashvillestrong https://t.co/Vf2siJ7hZN,VaxApprovalInfo,,,0,IGotTheVax,,FALSE
50-75,1,1,,1,The @US_FDA approves Pfizer COVID-19 vaccine! https://t.co/FpkhYOHIRO #GetVaccinatedNow https://t.co/uThYLO4mpZ,VaxApprovalInfo,,,1,,,FALSE
50-75,0,1,1,1,"Pfizer-BioNTech Vaccine Appears to Work Against New Covid Variants, Study Finds, as U.S. Records Deadliest Day https://t.co/O6Bqw4zR44 via @doximity Good news .@HolyCrossFL .@BayCare",VaxApprovalInfo,,,1,,,TRUE
75-100,0,1,1,1,"Pfizer Covid vaccine is 91% effective in updated data, protective against South African variant

https://t.co/IpgIQ6TYbW",VaxApprovalInfo,,,1,,,TRUE
75-100,0,0,,1,"Just got the second Pfizer covid-19 vaccine administered. @ New York, New York https://t.co/qpPDtlXBaZ",VaxApprovalInfo,,,1,IGotTheVax,,FALSE
75-100,0,0,,1,Getting Covid Vaccine 1st dose #CovidVaccine #PfizerBioNTech https://t.co/XiqniNe1AS,VaxApprovalInfo,,,1,IGotTheVax,,FALSE
top 25,0,0,,1,"@Bighova2345 @ncman424 @Suzy1776 Have you not paid attention? In Nov 2020 before the vaccine started to be given the US was in the 250,000+ dead from COVID. Those deaths were essentially all hospitalizations plus all those hospitalized and survived. Easily over 500,000 hospitalized for COVID.",VaxDoesntWork,,1,1,VaxLessensSymptoms,,FALSE
top 25,1,1,,1,@keloland What will this solve???  A ICU unit has half its unit out with Covid.  All are vaccinated.  My sister’s day care is shut down for the second time in a month.  All are vaccinated.   Proves vaccine isn’t working,VaxDoesntWork,,,1,,,FALSE
top 25,0,0,,1,"@foolio1977 @wokal_distance And the reason why we still deal with the flu every year is because not enough people take the vaccine to reach herd immunity to all variants *that we gave it a chance to develop into*.
And here you are advocating for giving COVID the exact same hall pass. Whose side are you on?",VaxDoesntWork,,,1,Other,VaxStopSpread,FALSE
25-50,0,0,,1,@1MeanLobo @BMeiselas Check the cdc website less than 6 of fully vaccine people end up in the hospital thus far. That's the important number wouldn't you say? The people getting covid with little to no real symptoms are a non issue obviously... Compared to the ones ya know... Dying.,VaxDoesntWork,,,1,VaxLessensSymptoms,,FALSE
25-50,0,0,,1,"@Mlondon83 @liamstack And why did someone who apparently writes about religion get a COVID shot already—over our teachers?

For someone who “writes” for a living, this tweet is very counter productive and more so could indicate the failures of our vaccine distribution...",VaxDoesntWork,,,1,Other,VaxFairness,FALSE
25-50,0,0,,1,@lisabarnesfilm They had to show a negative COVID test and proof of vaccine to board.,VaxDoesntWork,,,1,Other,VaxMandates,FALSE
50-75,0,1,1,1,"@AmberStiles80 @DreamerHyena Gahahahahahahahahaha. You are funny. Where are the Jews? 

It's that, but with the COVID vaccine. 

Prepare for the deadly Alpha strain that is vaccine-resistant.",VaxDoesntWork,,,1,,,TRUE
50-75,0,0,,1,"@10000gecs @acktuhvist @sara_hi_c As a health care worker, I just got my second dose of the covid vaccine. Hopefully they’ll continue to be distributed to those in the high risk category and inevitably the general public! Once 70-90% of the population is vaccinated, we can establish herd immunity 🙏🏼",VaxDoesntWork,,,0,IGotTheVax,,FALSE
50-75,1,1,,1,@Yes_ItsDre I’ve never got he flu shot and never get the flu so think I’ll skip out on this one since people that get that vaccine still get covid 😅,VaxDoesntWork,,,1,,,FALSE
75-100,0,0,,1,"@Amiebea 

Your profile. ❤️

I'm immune-compromised and passed conditions to my daughters.

I almost died in March20 from covid. Went to the hospital with a blood oxygen level of 56.

Ride it out as long as you can. 

How are they distributing vaccine in MN?",VaxDoesntWork,,,1,Other,CovidDanger,FALSE
75-100,0,0,,1,"@kwontumphysic @chrispix8 @steakshapiro Vaccine prevents the hospitals from being overwhelmed.  That’s why this is an issue.  If everyone was vaxxed, people with covid aren’t in the hospital dying.  The vaccine works as intended",VaxDoesntWork,,,0,VaxLessensSymptoms,,FALSE
75-100,0,0,,1,@SF_DPH  @CDCgov @LondonBreed Apparently people living in zip codes with crack/smack and Fentanyl addicts are now being prioritized for the covid vaccine. Maybe I should move and take up drugs? Please advise.,VaxDoesntWork,,,1,Other,VaxFairness,FALSE
top 25,1,1,,1,"Covid Vaccine States Begin Opening Covid Vaccines To All Adults ☝ 😐 
 https://t.co/ghqu7MnAMV",VaxEffortsProgression,,,1,,,FALSE
top 25,0,0,,1,"India is on the brink of collapse, @japan just extended it's #covid state of #emergency, &amp; vaccine shortages are occuring in our poorest nations. #Japan, holding these olympics during a crisis shows how little you care about #HumanLife. 🇯🇵

#sacrificed #FreeAssange #COVID19India https://t.co/op6lMh6PlA",VaxEffortsProgression,,,1,GovBadPolicies,,FALSE
top 25,0,1,1,1,"https://t.co/0zBbr7yiyR

Should coronavirus vaccine doses be reserved for the most vulnerable or should the focus be on swiftly vaccinating as many people as possible?",VaxEffortsProgression,,,1,,,TRUE
25-50,1,1,,1,U.S. to change Covid vaccine allocation to favor states that quickly administer shots https://t.co/BzcM45x7nI,VaxEffortsProgression,,,1,,,FALSE
25-50,1,1,,1,Health care should be public and not monetized. But this is certainly one way to get people vaccinated in the current system: https://t.co/mzAfv2IwFu,VaxEffortsProgression,,,1,,,FALSE
25-50,1,1,,1,You can now register for information on when you can get the COVID vaccine in Dallas County. Go here: https://t.co/yHlHXf6iEv,VaxEffortsProgression,,,1,,,FALSE
50-75,0,1,1,1,"Even if the deaths were caused by the vaccine (which the tweet is insinuating) which they’re not:

Deaths from the first 6 months
Vaccine: 5,946
Covid itself: 200,000

Which is better? https://t.co/aN7Je8dk5Q",VaxEffortsProgression,,,1,,,TRUE
50-75,1,1,,1,"Mass vaccination clinics are underway in Norfolk and Hampton. Organizers say they’re set to administer 5,000 second doses of the COVID-19 vaccine. https://t.co/T52I1quO3p",VaxEffortsProgression,,,1,,,FALSE
50-75,0,1,0,1,The United States of Confusion #CovidVaccine #vaccine #Covid_19 https://t.co/DCZCNVmiDZ,VaxEffortsProgression,,,1,,,TRUE
75-100,0,1,0,1,"The governor’s order mentions that “some have infection-acquired immunity.” Guidance from @DOHHillsborough says people who have already had covid-19 should still get vaccinated. Also, hesitancy exists but what are “health reasons” preventing someone from getting a safe vaccine? https://t.co/iTTweVT18E",VaxEffortsProgression,,,1,,,TRUE
75-100,0,0,,1,Working lunch in the @Tesla Model X in between Covid Vaccine catering deliveries. https://t.co/8wV6zQGwcw,VaxEffortsProgression,,,1,Other,Can't tell,FALSE
75-100,1,1,,1,"Virginia lawyers weigh in on legality of schools mandating COVID-19 vaccine. @VCCS_SO @VCU @UVA @ODU @JMU @longwoodu @LibertyU @vawesleyan @EMU_News @williamandmary
@MaryBaldwinU @MaryWash @marymountu @GeorgeMasonU
@wlunews

What are your thoughts on this?
https://t.co/GWPAgdD6oT",VaxEffortsProgression,,,1,,,FALSE
top 25,1,1,,1,"@a1castro_ even if you did get covid, getting the vaccine will help you so much more when there are other strains! Stay safe 🙏🏼",VaxLessensSymptoms,,,1,,,FALSE
top 25,1,1,,1,@DrLeanaWen @drsanjaygupta @AC360 But doesn’t the vaccine not actually stop spread of SARS CoV2 and only combat the symptoms of COVID-19?,VaxLessensSymptoms,,,1,,,FALSE
top 25,0,0,,1,"I’m gonna say this one time &amp; one time only. A vaccine stops you from getting a virus. For example, the polio vaccine keeps you from getting polio. Meaning you won’t get polio at all. The Covid vaccine is not a vaccine, because you can still get it.",VaxLessensSymptoms,,,1,VaxDoesntWork,,FALSE
25-50,1,1,,1,"THE VACCINE DOES NOT STOP YOU FROM GETTING COVID.

IT REDUCES ITS IMPACT AND YOUR LIKELIHOOD OF BEING HOSPITALIZED AND DYING. https://t.co/brKqX52l9k https://t.co/LyQ7MZxlst",VaxLessensSymptoms,,,1,,,FALSE
25-50,0,0,,1,"@_FRAUSTY @thankyouhinkie @UncleJemima29 @mtnsean @callmethebear @ohrnberger @MarkMaske The numbers I used to get that % are TOTAL adverse reactions, so technically speaking, you’re 100x more likely to die from Covid than have a reaction to the vaccine",VaxLessensSymptoms,,,1,Other,VaxSafe,FALSE
25-50,1,1,,1,@blazebabe42069 The vaccine doesn't prevent you from contracting COVID. It reduces the amount of time it takes for your body to cure it. If people didn't keep spreading it we wouldn't have to test the race between body healing and virus multiplying.,VaxLessensSymptoms,,,1,,,FALSE
50-75,1,0,1,1,@nytmetaI @UniversalORL @Havein No need. If you’re fully vaccinated you have almost zero chance of catching or passing on Covid to others. And since the #vaccine has been available to anyone 16 &amp; over for weeks or months in some cases if you still aren’t vaccinated that’s your problem not ours. Get #vaccinated,VaxLessensSymptoms,,,1,Other,VaxStopSpread,TRUE
50-75,0,1,0,1,@Covid19Critical would you please stop this damaging nonsense and tell people to just get the vaccine. You’re contributing to sickness and death that the healthcare system cannot handle on top of the DELTA COVID surges.,VaxLessensSymptoms,,,1,,,TRUE
50-75,1,1,,1,@peetey_t @hollyeileen the vaccine doesn’t prevent you from getting covid lol it significantly decreases the chances of you dying/being hospitalized from covid. 2 v different things,VaxLessensSymptoms,,,1,,,FALSE
75-100,1,1,,1,@CNBC And also the vaccine doesn’t prevent you from getting COVID it just makes it less severe let’s get that straight.,VaxLessensSymptoms,,,1,,,FALSE
75-100,0,0,,1,"@AZturningblue @d2inaz @TruthJusticeAz @DevoNinja @dougducey I’m wondering why they still wouldn’t have to submit to the same rituals as the non vaccinated? The vaccine isn’t supposed to  keep you from getting the virus, so wouldn’t we still want to know if a vaccinated person is running around campus with covid?",VaxLessensSymptoms,,,1,Other,MasksAndTests,FALSE
75-100,0,0,,1,"@xxxJDxxx3 @EMeadeMD It’s actually looking like the vaccine is not lasting or protecting as expected. Natural herd immunity will be what gets us out of this, it will be thanks to those who had Covid w natural immunities, both vaxxed and Unvaxxed that will slow the spread. Stop shaming",VaxLessensSymptoms,,,1,VaxDoesntWork,,FALSE
top 25,0,1,1,1,Me too! I can’t think of any thing demeaning enough for Trump and his idiot kids. BTW I received my second COVID vaccine yesterday. When I got home I took a couple of Advil and went to bed. Don’t want to curse myself but SO FAR SO GOOD! https://t.co/Zx5MNbazIk,VaxSymptoms,,,1,,,TRUE
top 25,1,1,,1,this vaccine got me feeling like i got covid again…ion like dat,VaxSymptoms,,,1,,,FALSE
top 25,0,0,,1,"If I die, just know I lasted a whole ass year and a half without getting covid &amp; not getting the vaccine ALL FOR ALLERGIES TO KICK MY ASS. That’s all 😵‍💫",VaxSymptoms,,,1,Other,OtherIllnesses,FALSE
25-50,1,1,,1,"2nd vaccine is a body slammer, but I’ll take this over COVID any day",VaxSymptoms,,,1,,,FALSE
25-50,1,1,,1,"On Friday, I received my second Moderna vaccine against Covid 19.

With so many stories about reactionary symptoms expected in the next few days, I've been very lucky to say I haven't had any.

Upon telling a friend I was fine, he said, ""Wow, maybe they injected you with saline.""",VaxSymptoms,,,1,,,FALSE
25-50,1,1,,1,"Day 2 of full blown COVID feeling sickness brought on by the vaccine. I knew it would happen, and the pharmacist told me that since I had COVID it would, but I still had no idea. If feels like when I really had COVID! I’m missing my second day of work. I’m a mess.",VaxSymptoms,,,1,,,FALSE
50-75,0,0,,1,I must be a vaccine junkie. I got vaxxed for Covid in March. I got my flu shot yesterday.,VaxSymptoms,,,1,IGotTheVax,,FALSE
50-75,0,0,,1,Ugh my brother got the covid vaccine. I was fucking with him about it and he stopped messaging me.,VaxSymptoms,,,1,IGotTheVax,,FALSE
50-75,1,1,,1,ok this vaccine is making me feel like I have COVID all over again and I’m NOT having a good time,VaxSymptoms,,,1,,,FALSE
75-100,0,0,,1,@SweetThingMemes I am currently in a care home/hospital. 9 nurses and cna's WHO HAVE NOT BEEN VAXXED TOLD ME WHEN I ASKED THEM WHAT THEY WOULD DO IF FORCED 2 VAX. THEY WILL QUIT if forced to Vax because THEY DO NOT TRUST THE VACCINE. I had covid in February and I took the J&amp;J shot IN JUNE.,VaxSymptoms,,,1,Other,VaxDanger,FALSE
75-100,1,1,,1,This COVID vaccine is killing me!!,VaxSymptoms,,,1,,,FALSE
75-100,0,0,,1,I must be a vaccine junkie. I got vaxxed for Covid in March. I got my flu shot yesterday.,VaxSymptoms,,,1,IGotTheVax,,FALSE
