theme	top_25_tweets
ClimateChangeMovements	Solar and wind are already providing emissions-free, reliable power. Renewable energy now accounts for over 25 percent of electric power in the United States, and solar is set to overtake nuclear power over the next few years.
ClimateChangeMovements	"Former Lt. Governor Kim Guadagno endorses Assemblywoman Serena DiMaso for Re-Election  
                                                                                                                      
In a letter to Republican County Committee Members, former Lt Governor Kim Guadagno states ""I have had the honor, as the former Lt. Governor, the 75th Sheriff of Monmouth County and a
Commissioner of Monmouth Beach, of observing thousands of public servants in my career. None have been as deserving of our support than my friend and my own Assemblywoman, Serena DiMaso.""                                                                    
 Assemblywoman DiMaso is seeking re election in the 13th Legislative district.  
                                                           
Lt. Governor Guadagno further notes that ""Finally, last but certainly not least, Serena is a two-term Assemblywoman who has earned a third term. If nothing else, Trenton is a place where negotiation, reason, and advocacy often win the day. Experience in lawmaking is priceless and, as the minority party, it is critical that our
representatives understand the system in Trenton in order to get anything done for us. Serena’s record of successfully representing us speaks for itself. These are not the days for learning on the job.
These are not the days of blindly following the tune of those that have never been to Trenton and simply have no idea how it works. These are not the days for people who put petty politics above the
needs of the people of the 13th. Certainly, my years in Trenton— and my time as your Sheriff— have
taught me to speak truth to power when that power no longer reflects our values. Serena has been that voice for you and will continue to be that voice""  

                                      #standwithserena. "
ClimateEmergency	"NRDC is actively fighting to: 
☑️ Combat climate change
☑️ Permanently protect the Arctic Refuge from drilling
☑️ Defend frontline communities from climate impacts
☑️ Shift to a 100% clean energy economy
☑️ Stand up for nature, wildlife, and ecosystems

There is still time to help. Your donation will help NRDC protect the environment, wildlife, and frontline communities."
GreenEnergyCreatesJobs	“Some [refineries] spend more on compliance and RINs credits than on payroll, electricity, and utilities… The ethanol mandate is adding about 30 cents a gallon to the wholesale cost of gas on average.”. 
AntiFossilFuelInfrastructure	FACT CHECK: No, the Texas blackouts aren't because of wind turbines. Wind farms in Illinois and Minnesota do just fine when the temperature gets down below zero. Watch our new video:. 
BuildBackBetterActCampaign	"Government doesn’t create prosperity. People do. We all benefit when people are free to use their skills, knowledge and resources in the best way possible.

The Mackinac Center for Public Policy is a research and educational institute that advances the principles of free markets and limited government. Through our research and education programs, we challenge government overreach and advocate for free-market approaches to public policy that free people to realize their potential and their dreams.

We reject the idea that government is the solution to all problems. In our research and educational programs, we consider:

All People. Our research recognizes the diversity of all people and treats them as individuals with unique backgrounds, situations and goals. People know how to allocate their resources better than government ever could.

All Institutions. Voluntary associations, businesses, communities and families all play important roles in a prosperous state and nation, as well as government.

All Disciplines. Mackinac Center research incorporates the best understanding of economics, science, law, history and morality — moving beyond mere cost/benefit analyses.

All Times. We evaluate long-term consequences of policy decisions on all people, not simply short-term impact on a few.

Learn more and become a supporter at www.mackinac.org/give. "
ClimateChangeMovements	I don't know who needs to hear this, but our relationship with gas doesn't pass the vibe check.
BuildBackBetterActCampaign	We’re live here in Toms River NJ at NJOP member Eileen Palazza’s house holding a roundtable discussion with Congressman Kim and allies on what’s at stake for our communities amid the overdose crisis and what we need to end preventable deaths and expand access to care for people who need it most. Join us in the comments with your questions and stories!
RenewableEnergyPromotionAndGrowth	"We are looking for few new Solar Advisors. 

Solar Advisor Position     

Solar Power of Oklahoma (SPO) is looking to add 4 more highly trained professional Solar Advisors.  These Solar Advisors will help to facilitate the tremendous growth of the Oklahoma solar industry as well as that of SPO.  Candidates for the position must be highly motivated, extremely organized, enjoy meeting with people and be able to learn all of the technical side of a solar energy generation system. 

The Solar Advisor position is a straight commission position with a fixed weekly minimum as well as a very attractive bonus structure.  Compensation will range from $2,000 to $16,000 per month, but the average Solar Advisor makes in the six-figures.  

SPO is looking for honest, hardworking individuals that want to join our Team and be a part of the quickly expanding solar industry.  At SPO we feel that it is not a question of if people go solar, but when people GO SOLAR! 

If interested, email your resume to jwpeters@solarpowerok.com. "
BuildBackBetterActCampaign	"If you are waiting on a politician to save you, you have already lost.

 Join the fastest growing grassroots group in Virginia.  In 2020 we defeated Northam's Gun Ban...in 2021 we defeated the homemade gun ban...and now we are fighting to rip the Richmond Radicals from power and Restore Virginia!"
NuclearEnergyProvidesTaxRevenue	Maryland’s economy continually outperforms the rest of the nation, thanks in part to nuclear power. Follow our page today to learn more about the surprising industry that’s strengthening the state’s economy.
RestoreVirginia	Chispa is a grassroots community organizing program building the power of Latinos and communities of color in the fight for climate justice. ⚡️🌿. 
CarbonEmissionReduction	It wasn’t until she was in high school that Hernandez started to learn about the possible connections between the nosebleeds, the cancer, the asthma, the undrinkable water, and the oil.
ClimateEmergency	DID YOU KNOW? Nearly 7 in 10 voters believe Congress should pass President Biden’s American Jobs Plan, which will create millions of good-paying clean energy jobs, tackle the climate crisis, and build a more fair and just economy. Sign on if you support President Biden's plan to invest in clean energy and want him to work with Congress to get the job done this summer!
ClimateChangeMovements	This 5th grader thinks nuclear power is essential in Illinois for one BIG reason. Click to find out what it is!
ClimateChangeMovements	Climate events such as heat waves will continue to rise in frequency, intensity and duration, scientists say.
OilAndGasBoostEconomy	"The proposed referendum to create a consumer owned electric utility is a bad deal for Maine consumers. – Barbara Alexander, Former Maine Public Utilities Director

https://www.pressherald.com/2021/12/19/maine-voices-public-power-a-bad-deal-for-maine/. "
CallToActionAgainstOilAndGasIndustries	"The biggest issue with grease theft isn't the money lost—it's the safety risks involved when criminals target businesses. Lenin Sepulveda, arrested last week for trying to steal used cooking oil in the Albany area, had been arrested at least four times in the past year or so for the same crime. He was also charged with assault after he ""was caught stealing used cooking oil by a local restaurant owner and hit the restaurant owner with his vehicle while fleeing the scene.""
Read more here: https://www.news10.com/news/albany-county/orange-co-man-arrested-for-attempting-to-steal-used-cooking-oil/. "
OilAndGasSupportJobs	"Reactor engineer Taylor Copeland at Byron Station is proud to be part of an industry that supports so many Illinois jobs.  

She knows these jobs and nuclear power is a vital energy resource in Illinois."
ClimateChangeMovements	Nevada and Arizona will face first-ever cuts to their Colorado River supplies next year, federal officials reported. 
BellbrookWokeRadicals	The headlines heralded GM's ambitious pledge to phase out all gas and diesel powered cars to only sell all-electric vehicles by 2035. But looking closer, we have a slightly different view -- and are ready to hold them accountable.
CallToActionAgainstOilAndGasIndustries	"Ron Johnson is bad for America because he doesn't care about Americans. That's why Ron Johnson has got to go. And it is not too early to build a coalition aimed at defeating him in the next election.

Ron Johnson and his GOP billionaire buddies have an unjust stranglehold on life and policy in the U.S. Through gerrymandering, court packing, and brazen voter suppression, the Republican Party has stolen power in local, state, and federal government, suppressing candidates and policies supported by the majority. Their policies prop up corporations and the ultra-rich, leaving everyday Americans to fight for scraps.

We are going after Ron Johnson's job, inspiring voters across the country to support his opponent, and we need your help.

Contribute today and help push America left.

https://secure.actblue.com/donate/push-left?refcode=fbad-rojo&amount=25. "
BuildBackBetterActCampaign	"Halloween is just around the corner and we are celebrating with a spooktacular giveaway! 🎃 Enter for a chance to win a family gift pack including a $100 Texaco gas card & four Ama pizzas. The rules are simple:
 
👻 Follow us on Facebook
👻 Comment below with a photo of you (or your keiki) in a Halloween costume!
 
That’s it! 🎉 Winners will be contacted and announced on Monday, November 1. This giveaway is not sponsored, endorsed by, or associated with Facebook."
BellbrookWokeRadicals	"The U.S. became the world’s No. 1 exporter of liquefied natural gas for the first time ever last month, as deliveries surged to energy-starved Europe.

https://www.bloomberg.com/news/articles/2022-01-04/u-s-lng-exports-top-rivals-for-first-time-on-shale-revolution. "
CallToActionAgainstOilAndGasIndustries	"𝐔𝐑𝐆𝐄𝐍𝐓 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 𝐓𝐎 𝐅𝐈𝐆𝐇𝐓 𝐂𝐀𝐓𝐀𝐒𝐓𝐑𝐎𝐏𝐇𝐈𝐂 𝐂𝐋𝐈𝐌𝐀𝐓𝐄 𝐂𝐇𝐀𝐍𝐆𝐄: 
We need to raise $500,000 to defend our food, water and climate in the year ahead — and right now a group of generous donors is matching every end-of-year donation to protect the planet, but ONLY until midnight on Dec. 31! Will you make your tax-deductible donation to help Food & Water Watch solve the most pressing food, water, and climate problems of our time before this $4-to-$1 match opportunity expires?"
RestoreVirginia	Along with renewable energy, the Clean Energy Corridor will also bring broadband access to thousands living in rural Maine, resulting in expanded access, more reliable connections, and faster internet speeds. Click the link to learn more👇. 
GreenEnergyCreatesJobs	This is huge, right? GM earlier made headlines for its promise to phase out all gas and diesel powered cars by 2035. But let's rewind a bit and take a closer look...
CallToActionAgainstOilAndGasIndustries	"Warning 🛑
Socialism Goes Local: Progressive Candidates Are trying to get elected in our community.

Meredith Brinegar, Kim McCarthy, and Josh Pressnell. It’s the progressive “Trifecta of socialism.”

Bad news for our community, here is why. 

Nowhere is that more obvious than our local angry radical, Kim McCarthy. Her well-documented protests, include protesting at the residence of our congressman. Refusing to stand for our great Flag and recite the Pledge of Allegiance.

With her is Meredith Brinegar from Bellbrook whose campaign appears to be copied from  McCarthy (and is an open ally of hers) and a vocal supporter.

Meredith appears all “sugar and spice and everything nice” but in reality, she is a socialist wolf in sheep’s clothing.

Brinegar spoke apologetically for being a white, heterosexual, female. Really she did! 

She has taken a page out of the national progressive playbook trying to shame people for something they have no control over.
 
Apologize for being white, is like apologizing for being black, being brown, being female, being male, being short, tall, having brown hair, red hair, all things no one has any control over but God.

She is ashamed for being white, but not ashamed of the vile actions of her fellow Yes PAC supporters over the last two years.

Brinegar was silent when yes Pac members attacked our senior citizens, telling them to move or die. No outrage from her.

She was also silent when the girl's basketball coach was exposed for his racist and sexual comments directed at the Black players. 

Where was her apology to the Seniors Citizens and girl basketball players? She was silent because the offenders were people she supported. They were her people.

Where was her outrage, her standing up and speaking out, there was none? 

If you have something to say, Binegar will not listen. She is covered up in her self shame, and progressive ideology.

And then we have Josh Pressnell. He is the face of super-rich entitlement. 

The Daddy Warbucks of this socialist tribe. 

He has led the yes PAC of hate, which has divided our community into “haves and has not's.” 

Pressnell wants to set policy for local schools, yet sends his children to expensive private schools.

When the Miami Vally school is described as expensive, they are not kidding. This school is for the rich, spoiled, and privileged, costing $24,000.00 per year, per child.

Mere pocket change for Josh Pressnell.

It is so hypocritical. 
So spoiled. So entitled.
It is what it is. 

Don't be fooled with a smile. 

These three candidates draw strength from each other. United under progressives goal of changing the values of our community. 

It is through the power of the elected offices they seek, is how they plan to implement and accomplish their shared radical goal.

Power our community should never grant them.

Across the country, socialists are coming more than ever into local elections. 

When you are focused over there worried about the Governor or Presidential races, they are over here taking over seats on school boards and town councils, and townships.

Just because they are running doesn't mean they are qualified. Nor does it mean they share your values and beliefs.

There are better choices, more qualified candidates, than this socialist trio of radicals.

Election Watch 21. "
CleanEnergyPromotion	"Andrea and Orlando welcome Bobby Eberle, Conservative Political Strategist, talk show host (13 minute News Hour), commentator, LeadershipLATINO instructor, and owner of GOPUSA.com and Julio Rojas-Aguilar, Manager of Donor Relations for the Institue of Humane Studies. Bobby brings us up to date on his work and travels around the state and country. Julio, a native of Peru, discusses his introduction to the ideas and benefits of free markets and free societies by his high school history teacher and the influence this has had on his life and career.

More about Bobby Eberle:
https://bobbyeberle.com/
https://bobbyeberle.com/13-minute-news-hour/
https://www.gopusa.com/

More about Julio Rojas-Aguilar:
https://theihs.org/people/julio-rojas-aguilar/
https://www.facebook.com/InstituteforHumaneStudies

Watch TLC Live! On Facebook (https://www.facebook.com/TLCforTexas) or on YouTube (https://www.youtube.com/channel/UCTi1LGIYZDNRyEL08eYm90Q), and Comment Live on Facebook Every Wednesday at 11 AM!"
TellRepToNotRaiseOilGasTaxes	"The average price for a gallon of regular in Connecticut was $3.54, an increase of 25 cents in the last month...

Meanwhile, CT Democrats are still pushing for even HIGHER gas prices with a new ""TCI"" gas tax. Sign the petition StopTheGasTaxCT.com."
RestoreVirginia	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the CNN producers involved with child sex crimes, foreign relationships, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Alex Clark & Jobob who will talk about anarchy in America, media distrust, Rittenhouse interview with Charlie Kirk, and more!

Benny on the Block host Benny Johnson takes a trip to both Florida and New York to find out where Americans would rather live.

We will wrap up the show with POPlitics with Alex Clark as she dives into Billie Eilish talking to Howard Stern about porn, Ben Affleck and Jennifer Garner’s marriage drama, President Trump on the Candace show, and more!"
DemandClimateActionFromLeaders	The costs of climate change are enormous, and taxpayers foot the bill.
BuildBackBetterActCampaign	Once You Give The Government Power Over Anything, They Will NEVER Willingly Give That Power Back! #BigGovSucks. 
VirginiaConservatives	"America’s cement manufacturers are committed to reaching carbon neutrality across the value chain – starting at the cement plant and extending through concrete’s life cycle. 

Check out how our industry will achieve sustainability goals at World of Concrete and visit shapedbyconcrete.com."
CleanOilAndGas	We count on our affordable, reliable co-op power. Don’t let politics and special interests get in the way.
ClimateChangeMovements	"“Advice to the well-meaning citizens. You may not be on the right road”

When comparing Ohio to the progressive utopia of California, embracing the new, and seemingly exciting energy of it all probably seems exciting. 

After all, Ohio is the midwest, and brown shoes sensible, and boring to many.  It's the thrill of the hunt, chasing down social evils where they do not exist. 

Recently playing on people's emotions to the point where the Bellbrook police are arresting supporters, who were unable to control themselves, for disorderly conduct. 

Turning civic events at the library into embarrassing situations for the community. 

The moral is to be careful what you wish for. 

Be careful not to allow yourself to be used by those who claim to be righteous, the smartest,  the research angels with all the right answers, and are anything but. 

Those looking at everyone's sins but their own. 

Well-meaning is good. 
Everyone wants the best. 

Being manipulated by your emotions to the point of acting out inappropriately is bad. 

Those who refuse to seek common ground based on common sense are a path to destruction to building a community that is reflective of everyone. 

They won the tax issue yet they act with aggression to a large part of the community. 

California types who want their unvoted version of utopia imposed on a conservative Sugarcreek are anything but nice.

Don't forget that they refuse to give up power and influence because not out of strength but weakness. 

At the end of the day for some, it's a political power grab, and they are undermining what they claim to support. 

Don't let them use you. Just think about it.
Make today a great day."
GreenEnergyCreatesJobs	Happy #MothersDay to everyone shaping the next generation of climate leaders! Hear from EDF’s Executive Vice President, Amanda Leland, about why this Mother’s Day is so special to her.
RenewableEnergyPromotionAndGrowth	Renewable resources not only help reduce climate change, but also provide a brighter future for generations to come. We believe that by taking care of Unci' Maka (Grandmother Earth) she will take care of our children and the generations to come.
GreenEnergyCreatesJobs	LA County is projected to have 40% job growth by 2050, but green jobs will grow almost 80% in the same time frame, per H&A Advisors. 
AbandonedWells	The San Juan College School of Energy continues developing new programs to train students for new jobs in natural gas production, and is seeking state grants that were established to train workers transitioning away from jobs in another, dying fossil fuel industry — coal.
CelebrateBuildBackBetter	Nuclear energy can bring reliable power and new clean energy jobs to Alaska. Show your support by liking our page today.
RenewableEnergyPromotionAndGrowth	"Honua Ola’s appeal to the Hawaii Supreme Court seeks to set aside the July 9 decision of the Public Utilities Commission to shut down our new, state-of-the-art facility that is 99% complete and currently employs more than 60 workers. An additional 160-plus jobs in other industries will also be supported by our facility's operation.
 
Listen in on the stories of our employees on why Honua Ola is vital to the Big Island’s environment, supports their careers and families, and allows them to live and work in their hometown communities along the Hamakua Coast."
GoBold	"At Save Our Earth, we are on a mission to remove 400 lbs of CO2 from the atmosphere with each and every bottle of hand sanitizer we give away!

And we aren't doing it alone...

Thousands of you believe in safe products for a safe environment.

You want to leave this planet in a better shape than when you found it and so do we!

And... we also want to protect our hands with all-natural, anti-crack hand sanitizer at the same time, but who says we can't have it all? 😁. "
CleanOilAndGas	What is the Clean Energy Connection, and how can it help make your upcoming home improvement project go as smoothly as possible? Learn how to find a trusted contractor with the Clean Energy Connection.
GreenEnergyCreatesJobs	"We want to send you a FREE bottle of our Environmentally Safe Hand Sanitizer with our 'Anti-Crack' Formula - if you'll help us cover the shipping costs.

Our bottle will not only protect your hands, but also help us remove 400 lbs of CO2 from the atmosphere!

-It’s all-natural
-It’s alcohol-free
-It won’t dry your hands out

We'll soon be selling our bottle at full price, but for a limited time, you can claim this product launch offer.

People who really care about the environment all over the country are leveraging this opportunity to make a small change that can have a huge impact on the planet. 

We dare you to try our hand sanitizer for FREE (just pay shipping) and see if it’s not every bit as good as what you buy at the supermarket.

Click or tap below to claim your bottle while supplies last. 👇

P.S. At checkout, you'll be asked if you want to round up to $20. For every extra donation, we will remove 400 lbs of CO2 from the atmosphere!"
VirginiaConservatives	"We are looking to add 2-3 more experienced electricians with their blue card to our growing team in Tulsa, OK. You must be licensed in the State of Oklahoma. Solar and/or renewable experience is a plus but it is not required. Applicants must be trustworthy, detail oriented and enjoy working in a team environment.  

The position comes with an attractive base pay as well as weekly performance pay.  Medical, dental and vision are available.  

Join a growing industry with the premier solar energy company in Oklahoma."
VirginiaConservatives	"Writer Eyal Press is most interested in documenting a kind of hazard that is not typically accounted for in government safety reports: what he calls “moral injury.” It describes the impact of having to carry out tasks that violate a person’s core sense of self — think drone operators, prison guards, poultry plant workers, and oil riggers. 

These are the workers we won’t see politicians sidling up to for photo ops this Labor Day."
GreenEnergyCapacity	"The Coca-Cola Company is committed to creating more sustainable communities. Our climate goals recognize we must do our part to reduce our carbon output and build resilience in the communities in which we operate. Packaging initiatives, like the Universal Bottle, bring us closer to the circular economy we aspire to see. 

Learn more about the steps we are taking to create a #WorldWithoutWaste: cokeurl.com/kjamrx. "
GreenEnergySupportsCommunities	Climate change threatens the birds we love. Sign up and we'll alert you to actions you can take to protect birds and the habitat that sustains us all.
CallToActionAgainstOilAndGasIndustries	"We are currently seeking a Site Surveyor to join our team on a part-time basis. If you are looking for a place to learn more about solar and make some extra money please read below and see if this role is a match for you.
 
The Site Surveyor will focus on surveying homes for future install sites for solar installations. This person's primary job will be surveying, taking pictures of, and documenting homes around the state of Oklahoma. The ideal candidate for this position needs to have a reliable means of transportation, be extremely reliable, and have the ability to take pictures with their smartphone and upload those pictures to our CRM application.

Skills and Requirements include but are not limited to:
- Conduct site surveys across the state of Oklahoma
- Take detailed notes and input notes into our CRM application
- Be professional and communicative with any homeowners
- Work with internal employees on completion of reports
- Complete reports in a timely manner
 
Travel Requirements:
- Travel away from home for several hours
- Ability to travel with little notice
- Reliable vehicle with a valid Oklahoma driver’s license
 
Physical Demands
- Ability to lift a minimum of 35 lbs
- Ability to work outdoors, on ladders, and in confined spaces
- Ability to work with/around electrical wires
- Ability to work remotely at construction or installation sites

Education and Experience Required
High school diploma or GED. "
CelebrateBuildBackBetter	Industrial manufacturers are key to reducing our emissions as a nation, and many of them are stepping up to bring their carbon footprint down. Read more:. 
OilAndGasTaxesBad	"The Lignite Council recently recognized legislative leaders for their work during the 2021 North Dakota legislative session. Five legislators received the Lignite Luminary distinction for sponsoring two or more priority bills to support the coal industry. More than 100 legislators were recognized as Lignite Champions for voting in favor of all of the priority bills.
 
The 2021 Lignite Luminaries are:

Senator Jessica Bell (R-33) Beulah
Senator Rich Wardner (R-37) Dickinson
Representative Jeff Delzer (R-8) Underwood
Representative Chet Pollert (R-29) Carrington
Representative Craig Headland (R-29) Montpelier
 
Read more about the recognition program at: 

https://lignite.com/uncategorized/legislative-champions-of-the-lignite-industry-recognized/. "
CleanOilAndGas	"Breathing is supposed to keep us alive, not kill us. Yet tens of thousands of Americans die every year because of dirty air. 

Earthjustice is wielding the power of the Clean Air Act to clean up air and to hold industry accountable for its pollution, so people can live full lives with lower risks of cancer, and fewer heart attacks and debilitating asthma episodes."
BuildBackBetterActCampaign	Rittenhouse’s constitutional rights were upheld because Wisconsin courts, like Tennessee courts, still allow a balance of power between the judge and the prosecutor. 👇. 
CallToActionAgainstOilAndGasIndustries	"New York Republican Chairman Nick Langworthy will continue his statewide “Just Say No” tour to Saratoga to highlight the Party’s opposition to the November election ballot propositions. #JustSayNoNY 

Saratoga County Republican Committee. "
OilAndGasSupportJobs	"""There's ""no chance that North Face could exist as a company or an organization without oil and gas,"" Wright told Fox Business Thursday. 

Fossil fuels are needed to make the petrochemicals that are used in the plastics, nylon, climbing ropes and more that North Face sells, Wright says. Oil and gas products fuel the factories that manufacture the goods. And fossil fuels are the backbone for shipping North Face products around the world. "". "
ClimateEmergency	A Conversation with the Four Living Standing Rock Sioux Tribe Chairmen. 
GreenEnergyCreatesJobs	"World’s Best Wednesday🏆enjoy your cup of coffee☕️ this morning with a good laugh! 

#memes😂 #officememe #officememes #michealscott #wednesday #gabelewis #energy #environment #sustainability #gop #kellykapoor #stanleyhudson #dwightschrute #climate #change #kevinmalone #worldsbestboss. "
DemandClimateActionFromLeaders	"ICYMI: While most politicians are busy pointing fingers at one another over rising costs of essentials like gas, Senator Sue Serino is pushing for the state to take real action to provide immediate relief to hardworking New Yorkers. 

Sue wants the state to suspend its gas tax—a move that would save residents almost 50 cents per gallon! LIKE if you agree that New York should suspend the gas tax today! 

https://westchester.news12.com/sen-serino-helps-lead-the-effort-to-trash-the-gas-tax. "
CallToActionAgainstOilAndGasIndustries	"#BREAKING: Speaker Announcement! Joining us at CCR Convention 2021... Ambassador Richard Grenell! 🔥 

Amb. Grenell served as Ambassador to Germany and Acting Director of National Intelligence during the Trump Administration. He has been an advocate for many of the Trump admin policies, the MAGA movement, and the need to oust Governor Gavin Newsom! We look forward to him joining us on July 10th. 🇺🇸 Tickets (public can watch on zoom!) 👉 cacollegegop.com/convention

For more background on Ambassador Grenell:

Richard A. Grenell was confirmed by the United States Senate as United States Ambassador to Germany on April 26, 2018 and served until May of 2020. Grenell was appointed Presidential Envoy for Kosovo-Serbia Negotiations in 2019, and as Acting Director of National Intelligence in 2020. Grenell also led the U.S. government’s initiative to Decriminalize Homosexuality in more than 70 countries around the world. 
 
Grenell started his tenure in Berlin by successfully negotiating with German businesses to sever their ties with the Islamic Regime in Iran and getting the German government to accept the return of former Nazi prison guard Jakiw Palij. He also successfully pressured the German government to increase its defense spending, ban Hezbollah in Germany, and shut down the North Korean Youth Hostel in Berlin. Grenell also focused on stopping the Nord Stream 2 Russian gas pipeline, combating anti-Semitism, and growing German companies’ investment in the U.S.     
 
As Acting Director of National Intelligence, Grenell streamlined the intelligence community, implemented $19 million in budget savings, and declassified documents related to the Russian investigation that had been previously unreleased.  
 
Grenell was the longest-serving U.S. Spokesman at the U.N. serving from 2001 to 2008 and advising four U.S. Ambassadors.  In 2004, he was appointed as Alternative Representative to the U.N. Security Council with full voting rights and privileges.   
 
He has served as the primary communications adviser for public officials at the local, state, federal, and international levels.  In 2012, he briefly served as National Security and Foreign Affairs Spokesman for Presidential Candidate Mitt Romney, making him the first openly gay spokesman for a Republican Presidential candidate. Grenell is also the first openly gay U.S. Government Cabinet official. 
 
Grenell previously taught at the University of Southern California's Annenberg School of Communications and is currently a Fellow at Carnegie Mellon University. He received his Master's Degree in Public Administration from Harvard University's John F. Kennedy School of Management and his Bachelor's Degree in Government and Public Administration from Evangel University."
GreenEnergyCreatesJobs	"America’s cement manufacturers are committed to reaching carbon neutrality across the cement and concrete value chain by 2050. 
 
Find out more about the industry’s plan at shapedbyconcrete.com."
RenewableEnergyPromotionAndGrowth	"SoCalGas is empowering hydrogen development for California’s homes and businesses, because we believe in clean, safe, and reliable energy for tomorrow. 

Watch to learn how this innovative fuel is powering our world to #NetZero future.

#CleanEnergyWeek. "
RenewableEnergyPromotionAndGrowth	Come learn about solar and renewable energy at our free Solar 101 class. Event will be located at the Mabel C. Fry Public Library in Room B.Dinner will be provided from Chick-fil-a!
GreenEnergyCreatesJobs	Iowa scientists: Climate change will bring floods, drought and supercharged ragweed. 
ClimateEmergency	Home appliances that run on fossil fuels are contributing to the climate crisis and harming our health. NOW is the time for Congress to help more people run their homes on clean electricity!
OilAndGasBoostEconomy	With summer storms approaching, #natgas will help keep your hot showers and warm meals flowing.
DemandClimateActionFromLeaders	"“Let’s protect beautiful Arizona.” 
“Let’s protect the Arizona Trail.”
Please urge our Senators to vote to Build Back Better. 
Senator Sinema (602) 598-7327 
Senator Kelly (602) 671-7901

The Build Back Better budget proposed by President Biden is supported by nearly two-thirds of Arizona voters (https://www.filesforprogress.org/memos/bbb-az.pdf). It would fight climate change by moving our country toward renewable energy in electricity and new vehicles. It would also help prevent drought and wildfires, while reducing their impacts on recreational resources like the Arizona National Scenic Trail. 

A recent survey of Arizona Trail Association members identified the greatest biggest threats to the Trail as wildfires, drought and climate change. 

“The effects of heat, drought and wildfire are exponential over the past decade,” said Michael Chappell, an Iraq War veteran and veterans outreach specialist. “We can cut the pollution that causes climate change. Senator Kyrsten Sinema and Senator Mark Kelly, we are counting on you.” 

The Arizona National Scenic Trail is a complete non-motorized path, stretching 800 diverse miles across Arizona from Mexico to Utah. It links deserts, mountains, canyons, forests, history, communities and people. The Arizona Trail Association’s mission is to protect, maintain, enhance, promote and sustain the Arizona Trail as a unique encounter with the land. Learn more at www.aztrail.org."
RenewableEnergyEconomicBenefits	Not all electricity providers are the same. Electric co-ops power businesses, homes, schools and farms across the country and support more than 600,000 jobs. Learn how co-ops do more than just keep the lights on. #CooperativeDifference #Voices4CoopPower. 
ClimateChangeMovements	UMaine Farmington Physics Professor, Paul Stancioff, PhD., and Maine nature-lover, Cynthia Stancioff, detail out the math comparing fossil fuel and hydro emissions. Especially in colder regions like Quebec, CO2 emissions from hydro are far below that of either coal or natural gas.
ClimateChangeMovements	Coal-based electricity has been a low-cost and resilient source of electricity for several decades, but as homeowners worry about rising costs of energy, coal is being attacked.
GoBold	"Atlanta Residents: Duke Energy isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/Dirty-Truth. "
AbandonedWells	The world’s thirst for oil will exceed pre-pandemic levels next year, with improving vaccination rates and increasing public confidence in governments’ management of Covid-19 spurring a recovery in travel, the Organization of the Petroleum Exporting Countries said Monday.
OilAndGasBoostEconomy	A non-profit trade association primarily engaged in the exploration, production, development, transportation and distribution of natural gas and oil in VA.
GreenEnergyCreatesJobs	Biofuels are the future of renewable energy. Follow along →. 
RenewableEnergyPromotionAndGrowth	Did you know that Bioheat® fuel supports local businesses in your community and is a cleaner heating fuel? Bioheat® fuel is delivered by people who live in your neighborhood. Call your local fuel provider today and ask for Bioheat® fuel. #bioheat. 
RestoreVirginia	There’s nothing more important than a safe home. #UltimateSafetyTest. 
CutMethane	Williams is committed to being the leader in providing infrastructure that safely delivers natural gas to reliably fuel the clean energy economy.
RenewableEnergyPromotionAndGrowth	If the Flexible Financing for Rural America Act is passed, the average co-op with typical RUS debt could save $2 million per year in interest payments – money that can be returned to consumers-members by investing  in co-op and community development. Learn more here: https://bit.ly/3xreNrU #Voices4CoopPower #RepriceRUSRates. 
TellRepToNotRaiseOilGasTaxes	"Marjorie Taylor Greene is panicked.

Last year, Rep. Marjorie Taylor Greene didn’t have a Democratic opponent. Now, thanks to 76,000 of you who donated, we just matched her in fundraising this quarter, bringing in over $1.5 million.

Next November, WE WILL UNSEAT HER. Help us step on the gas with a $5 donation NOW!"
CelebrateBuildBackBetter	Thank Senator Fischer for supporting smart, practical, bipartisan policies that promote conservation by helping reduce carbon emissions. The Growing Climate Solutions Act is the first step toward rewarding farmers, ranchers, and foresters for protecting birds and all wildlife for future generations. Sign up today to show your support!
GreenEnergyCreatesJobs	"WE ARE HIRING! 
 
Solar Power of Oklahoma is looking to IMMEDATLY hire several new Solar Installation Technicians. 
 
Do you pride yourself as being a Hardworking, No-Nonsense, ""Get Stuff Done"" type of person that wants to feel accomplished when your head hits the pillow, all while making great pay and earning your spot on the SPO TEAM? If so, you need to apply for this position. 
 
Join the LARGEST and FASTEST GROWING Solar company in Oklahoma, Solar Power of Oklahoma!
 
Give us a call at 405-608-0095 or come see us at 7801 N. Robinson Ave., J-8, Oklahoma City, OK 73116."
