theme	top_25_tweets
EconomicAdvantagesOfRenewableEnergy	When you purchase a Friends of Coal License plate, you are helping Kentucky students, ages 10-16, build their financial literacy & coal knowledge through Junior Achievement’s BizTown and Finance Park Programs!
OilAndGasExtractionRisks	The Bluewater Texas Terminal pipeline will be built safely, to high government standards for steel strength.
GreenPowerExpensive	"Kansans Fueling Kansas talks with Angela Tin from the American Lung Association, which has been working to improve lung health since 1904. Vehicle emissions from traditional fuels affect air quality, and therefore lung health. 

Replacing traditional fuels with Kansas biofuels means better air quality and better health because higher ethanol fuel blends are 

✅  cleaner
✅  renewable
✅  biodegradable

Shop local and support clean air for Kansas by visiting an E-15 fuel station near you: https://www.fueledbykansas.com/where-to-buy."
StopOilPollution	One California town has already been ravaged by wildfires twice this year. This is not normal. Get more facts from real climate scientists, right here.
EconomicAdvantagesOfOilAndGas	With gas more than $4 in California, Gavin Newsom's $800/year gas tax is affecting families up and down the state. Should it be repealed?
ProtectFromHarmsCausedByFossilFuels	Why do Wall Street and Houston based oil companies funnel so much money in New Mexico politics? It's up to us to cut them off.
InroadsMadeByRenewableEnergy	"WATCH: C3 Solutions Co-Founder John Hart interviews Rep. Blake Moore for our #RightVoices series. Check out the Utah representative's perspective on climate and energy issues is here! 

Learn more at C3Solutions.org."
OilAndGasExtractionRisks	Toxic, problematic, unstable, and oppressive. Sounds like a nasty relationship. Swipe left and say NOPE to Big Oil!
ChallengesFacingRenewableEnergy	Did you know Friends of Coal has a storefront for Junior Achievement’s BizTown and Finance Park programs? In our storefront students from 10-16 years old work as an engineer to help learn financial literacy through simulation. During the 2019-2020 school year, over 5,000 Central Kentucky students were able to be a part of this program. When you purchase a Friends of Coal license plate, you are supporting the students of Kentucky.
GreenEnergySavesMoney	"Texas Comptroller Glenn Hegar recently announced $2.9 billion has been split evenly and deposited into the State Highway Fund and the Economic Stabilization Fund, more commonly known as the Rainy Day Fund. The transfer amounts are based on an uptick in crude oil and natural gas production. Both of these funds are key components of Texas’ long-term economic success and this is welcome news as we strive to build a strong foundation needed for our state’s future growth.

Photo credit:  Roy Luck 2009. "
ClimateActionDonation	By focusing on the emissions of oil and gas production, the industry is ignoring the much larger share of pollution that comes from the burning of fossil fuels. This is a clear attempt at greenwashing: Parts of the oil industry are arguing, perversely, that more fossil fuels can help solve the climate crisis.
TackleClimateChange	Fact: When you have a union at your job, your employer is required by the law to negotiate with you, your co-workers and your union over things like safety, benefits and working conditions. That includes making changes to keep you safe during COVID.
BuildBetterAct	NM under Governor Michelle Lujan Grisham is working to act on climate and protect New Mexicans from oil and gas pollution. Secretary Jennifer Granholm's visit highlighted importance of the EPA and NM Environmental Department efforts to cut methane. https://bit.ly/3mEoeBQ. 
AdvocateForGreenEnergy	Clean energy means high-paying, stable jobs. Offshore wind build can help build a future for your family and your community.
EconomicAdvantagesOfRenewableEnergy	We’re building toward a future where all people in Arizona have the power, resources, and support we need to get abortion care! We need you to join the fight today - add your name!
RenewableEnergyGrowth	Louisiana Liftboat Cap’t Farrel Charpentier believes offshore wind will create Gulf Coast jobs for years to come. Hear his story.
EconomicAdvantagesOfOilAndGas	"CALL Elaine Luria: 757-364-7650 and tell them to oppose Pelosi’s socialist spending spree.

❌ Largest tax increase in more than 50 years

❌ Higher taxes on millions of small businesses

❌ Decreased wages and household income

❌ Rising costs for household goods like gas & groceries. "
AdvocateForGreenEnergyPoliticalAction	We’ve spent more than 10,000 hours learning the unique environmental conditions along our pipeline route so we can design, build and operate safely here. We’re committed to showing you that we stand behind our commitment to operate safely for you, the greater Memphis community and the environment.
AdvocateForGreenEnergy	Youth in STEM are blowing us away! A group of Virginia teens lit their town’s holiday lights display at the beach with a wind turbine they built themselves. Read more:. 
AdvocateForGreenEnergy	Find out why scientists agree that climate change causes more extreme droughts, bigger fires, and deadlier heat.
AdvocateForGreenEnergy	"Great news for Texas Public School accountability! 

The legislature makes it crystal clear that they are putting Texas students FIRST, by restoring the states A thru F school rating system by passing my SB 1365 in the Senate 20-11 with bipartisan majority overturning a horrible 3rd Court of Appeals ruling! SB 1365 strikes a balance between local control and state accountability by clarifying statutory requirements for low preforming and failing schools. Once again Texas Education Agency can investigate low performing school systems, and do interventions down to a campus level.

For HISD Board of Trustees it means that their decisions can be overruled by the existing district Conservator, and TEA will have the subpoena power to investigate waste, fraud, and abuse in the school system for the 1st time. (That was from another of my bills SB 215)

Thanks to Lt Gov Patrick, Chair's Taylor and Dutton, plus House sponsor Dan Huberty! What the legislature is doing is restoring all the reforms that have been made in the Public Education system for the last 4 years.

SB 1365 ensures students get a quality education and don’t have to stay at a school that is failing improvement requests, year after year with no accountability. It is a very important bill for students, parents and ISDs in Texas not just Houston ISD where issues have existed for nearly a decade..

The bill heads to Gov Abbotts desk for his signature.... Sen PB

See more in PR here: http://bit.ly/34vnmp2. "
RenewableEnergyGrowth	"It’s Wednesday, right⁉️😲

#memes #memesdaily #tuesday #ERCOT #texas #greenenergy #starwars #anakinskywalker #Padme #starwarsmemes #jedi #resource #development #electrical #grid #power #Reduce. "
NeedQuickResponseForClimateCrisis	Energy efficiency is the quickest and cheapest way to meet our energy needs while also helping Floridians save money on their power bills … But Florida’s outdated practices take true efficiency off the table. Urge state regulators to update Florida’s policies!
ChallengesFacingRenewableEnergy	Climate events such as heat waves will continue to rise in frequency, intensity and duration, scientists say.
GreenPowerExpensive	The headlines heralded GM's ambitious pledge to phase out all gas and diesel powered cars to only sell all-electric vehicles by 2035. But looking closer, we have a slightly different view -- and are ready to hold them accountable.
OilAndGasExtractionRisks	“One in three children here in Waukegan have asthma, and that’s mostly due to the coal plant that we have along with five EPA superfund sites that are so polluted,” Flores said.
PoliticalActivismForRenewableEnergy	Big Government Tyrants Will NEVER Willingly Give Up Their Power! #BigGovSucks. 
PoliticalActivismForRenewableEnergy	"Bellbrook School Board President  David Carpenter has been using the Police and Prosecutors to target his political opponents.

Carpenter has sent multiple secret letters and ran secret, unauthorized criminal background checks on political opponents and potential school board candidates. (we have the emails and letters)

David Carpenter should resign for his aggressive and unethical actions.

No school board president should ever be allowed to weaponize his position and use the power of his office in such a manner.

Watch the Video and listen to Senator Cotton.

https://youtu.be/5ZM5GRzg1M0. "
LegislatorsMustActAgainstClimateChange	Out-of-Touch Joe Biden’s rising gas prices are costing Average Joe nearly $20 more per fill up.
ReduceEmissions	Forests like the Tongass can help us fight climate change if we let them grow. President Biden: Protect our old growth forests from logging.
OilAndGasExtractionRisks	Drinking water or taking a shower shouldn’t make you sick. Georgia Power is willing to take that risk. Tell the state to make Georgia Power clean up its coal ash and move it to a lined landfill. #GACleanYourAsh https://www.georgiacoalash.org/. 
TackleClimateChange	"Action Alert!  Special Session Update with Gary Humble of Tennessee Stands!

As we speak, conservative legislation that would restore your individual liberties and medical freedom are being debated.

But, will these bills be killed in committee by RINOs as they were in the General Session? Not if you take action and remain vigilant...

In this interview, Gary Humble of Tennessee Stands briefs you on the BEST bills that are currently being considered and how YOU can support their passage.

If you haven't already, be sure to Subscribe to The Tennessee Conservative for important email and text alerts on this developing story.  https://tennesseeconservativenews.com/subscribe/

Do you appreciate what we do to protect your freedom?
If so, please donate here - https://tennesseeconservativenews.com/support/

We NEED your help in this critical fight!

Yours in Freedom,
Brandon Lewis, Founder of The Tennessee Conservative. "
LegislatorsMustActAgainstClimateChange	ENERGY ACTION ALERT: Natural gas generated nearly 40% of New York’s electric power in 2019, but some lawmakers have proposed ending the use of natural gas – limiting consumer choice and potentially increasing energy costs.
OilCreatesJobs	"""There's ""no chance that North Face could exist as a company or an organization without oil and gas,"" Wright told Fox Business Thursday. 

Fossil fuels are needed to make the petrochemicals that are used in the plastics, nylon, climbing ropes and more that North Face sells, Wright says. Oil and gas products fuel the factories that manufacture the goods. And fossil fuels are the backbone for shipping North Face products around the world. "". "
TackleClimateChange	"This ""Guest View"" was submitted to the Portsmouth Herald.

GOODBYE, “CITY OF THE OPEN DOOR?”

For over half a century Portsmouth has taken pride in calling itself the “City of the Open Door.” After living in the city for almost four decades, I worry that that sentiment is being eroded. Mayor Becksted’s recent political and ideological appointee to the Zoning Board of Adjustment, David MacDonald, said during a meeting in July: “I think there are enough places to live for the people of the city to live here. It's people who aren't here, who wish they were, who are who are sensing a shortage of housing. I don't think there's a shortage of housing.” I’m sure MacDonald was sincere, but that’s the problem: he clearly does want to pull up the drawbridge and keep others out. He is comfortably settled here himself but not comfortable with building more homes for others who’d also like to live and work in Portsmouth. 

There’s an ad circulating currently on social media — paid for by a group called “Preserve Portsmouth” — that features an unattractively composed photo of an unfinished section of housing in the West End Yards project and asks people: “Do you want to turn Portsmouth into this?” The “this” happens to be the homes of people who have moved or are moving into town. More than likely these newcomers are very happy to be here and have a place like Portsmouth to call home. The ad supports the re-election of Mayor Becksted, councilors Huda, Kennedy, Trace, and Whelan, as well as first-time candidate Greg Mahanna. It is hard for me to believe they signed off on that message, but their names are there. This is not the voice of the “City of the Open Door.” It’s the opposite of the welcome mat. We have a real housing crisis in our city. We need housing for all. More than ever, our wildly attractive city needs a comprehensive policy framework, including reformed zoning ordinances, that is pro-housing and manages growth through smart land use.

Four years ago during a public session to consider the final phase of development in the North End business, residential, and hotel district, our mayor — then prospective councilor Rick Becksted — stated that he thought “our beautiful city [had] disappeared.” I have no doubt at all that in conveying a sense of loss his comment was heartfelt. But if he’s talking about the city’s physical landscape, he’s been living in a different city than I have. What I’ve seen disappear are large tracts of asphalt parking lots left behind by urban renewal and open weed-covered lots. We can have different ideas about the importance of building height being two, three, or four stories. We can argue about aesthetics. But to my knowledge we haven’t sacrificed a single historic building to new projects. In fact, our stock of historic buildings has probably never been in better shape, often renovated by newcomers and insulated for the 21st century. The changes have also added to our tax base during a time when we lost over $90 million of taxable value when the Schiller Power Station was deregulated and sold. You may think your taxes are high now, they would be higher still without the revenues created by new projects.

Combined, the sentiments of Mayor Becksted and MacDonald provide an insight into the mindset of the mayor’s majority voting bloc on the current council. It also explains the motivation for many of the mayor’s recent ideological appointments to the land use boards, all supported by his voting bloc consisting of Councilors Huda, Kennedy, Whelan, and Trace. They haven’t given the housing issue priority. In fact, since they took office, there’s been a proposed moratorium on housing development, some of them have tried to delay (at the expense of the city’s largest nonprofit) a much-needed affordable public housing project, and they’ve intervened in land use processes — speaking “as residents” — to stall or block specific projects that would provide housing. Pro-housing policy-making should have been the first order of business when the current council term began.

Portsmouth is of course far more than its buildings; it has character and a social fabric. It has a collective way of life, a quilt made up of unique neighborhoods, each with its own personality. And the city has a larger identity that is constantly evolving, something I’ve witnessed in my time here. For some residents, like the mayor, the rate of rapid change has brought with it a sense of something lost. And it’s true that the old social fabric has in some cases grown thinner -- new buildings have appeared and new people have moved into the neighborhoods. While residents may be happy with the increase they’ve seen in the value of their homes, it’s also easy to imagine how change could create fault lines and disorientation in the community. It’s not difficult to see how gentrification rubs both ways: older homes are renovated and streets improved, but something older and familiar has gone. Maybe that’s what the mayor meant. We all have to respect that sentiment but it shouldn’t derail us from creating a different vision. We can’t stop the march of time. A new identity is emerging and we have the chance to shape it with intention.

The coming election is especially important because the city again finds itself again at a significant  crossroads. The mayor and MacDonald want the city to retrench. Many others, including the younger generations, families, long-term residents who embrace change, and newcomers, accept the inevitability of future growth, and are not afraid of it. In fact, the challenge is one of how best to manage it to the benefit of the entire community. With skilled leaders and a clear vision of what we want to become, it is possible to balance growth with quality of life. Voters have an opportunity in a few days to elect some new leaders with knowledge and imagination who can help get us there. At the very least we need to establish a shared understanding of this moment in history and then move forward. On November 2  the voters get to choose leaders who will respect history, while moving the city forward.

Gerald Duffy
October 20, 2021. "
NuclearEnergyBenefits	From the moratorium in the Gulf to anti-industry lawsuits, LA oil & gas is hurting.
AntiTax	"Now that the 2021 Primary is over, it is on to victory in the November election.

From the office of Lt Governor to over a dozen candidates for the House of Delegates, we have many champions of the right to keep and bear arms on the ballot.

Will you help us fight to defeat the gun grabbers?

And we are not talking about beating one bad politician with another, just because of the letter they place after their name, but rather those who have pledged to-

*Repeal Red Flag Gun Confiscation and legalize private gun sales
*Pass Constitutional Carry
*End the Governor's Shutdown and forced vaccination powers
*And so much more

For over a year we have been training activists, fighting to stop anti-gun legislation at both the State and local level, recruited candidates and worked the polls to get them on the ballot.

But now the true test comes.

You see, the difference between victory and defeat in many races is just a few hundred votes, literally less than 100 in two races, so now is the time to dig in and fight. In fact, in 2019, less than 9,500 votes statewide tilted the power in the House of Delegates to the gun grabbers!

This means literally less than 1% of the residents of Virginia gave power to the anti-gun nuts.  And now it is time to take it back!

And we do not mean giving power to establishment politicians, who will slowly and surely compromise away your right to keep and bear arms, but rather lovers of liberty who will fight anyone of any party who attempts to gut the 2nd Amendment.

During the primary season we sent out over 35,000 pieces of direct mail, 50,000 phone calls and texts and well over 150,000 emails, all to mobilize true conservatives to show up at the polls.  But in November we need to do so much more.

Thanks to all of our donors, we now have many true conservatives on the ballot.  In fact if you click here, you will be able to see the results of our 2021 Restore Virginia Now Candidate Survey.

https://virginiaconservatives.net/2021-rvn-candidate-survey

  And we ask very hard questions on that survey. 

 Why?  

Because it is not enough for a politician to claim to support the 2nd Amendment,  even Hillary Clinton said she did!  But rather we want politicians and candidates on record on specific legislation like the repeal of Red Flag Gun Confiscation, Constitutional Carry and legalizing private gun sales. 

 So take a look and see who has pledged to take the fight to the far left radicals!

 And again, we will never, ever support the lesser of two evils, but rather only true champions.  Because we would never, ever use our donor's dollars to support squishy candidates who would some day violate the principles  we all hold dear.

In war, planning is useless, but plans are indispensable.  So will you help us now plan and prepare to fight to elect true conservatives?

If so, click here to donate $500, $250, $50 or whatever you can afford to help arm our volunteers for the final fight

https://donorbox.org/restore-virginia-now

As anti-gun zealots are putting the 2nd Amendment square in their sights, we need your help. 

Because of our donors, we stopped the Northam Gun Ban...we stopped the homemade gun ban and we helped many true fighters past the Primary....and now we take the war to the socialists at the ballot box.

Only 9,422 votes flipped control of Virginia to the anti-gun radicals.  Can we count on you to help us take those seats back?

It is time to take back OUR VIRGINIA.

 
In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
RenewableEnergyGrowth	80% of global energy production currently comes from high-emitting fossil fuels. Zero-carbon fuels like hydrogen (“H2”) and ammonia (“NH3”) can fuel heavy transportation, industry, and power generation.
AdvocateForGreenEnergy	"Peter Konieczko from Scarborough writes in the Sunday Telegram: ""As we undergo an inevitable transition from fossil fuel-based energy to reduced-carbon energy sources, we need to consider two important aspects: availability and risk."" https://www.pressherald.com/2021/07/25/letter-to-the-editor-hydro-quebec-power-line. "
SouthwestGasInvestment	Conservative values are under attack across America. Biden and Pelosi will stop at NOTHING to spread their far Left agenda - it’s up to us to stop them. Stephanie Bice is a champion for our nation’s oil and gas industry and the thousands of hardworking Americans relying on it. Rush in ANY amount right now to make sure she can preserve our shared conservative values >>. 
RenewableEnergyInfrastructureGrowth	General Manager Joseph McNeil, Jr is onsite as our first Anpetu Wi wind farm met towers are placed this week. This is the culmination of years of planning, engineering meetings, community support and fundraising. Pilamayaye - Thank you for your support! 🌬. 
AdvocateForGreenEnergy	"Biofuels burn cleaner and cooler than gasoline.

A simple move to 15% ethanol blended fuel nationwide would reduce carbon emissions by almost 20 million tons per year -- the equivalent of removing 3.85 million cars off the road."
OilAndGasExtractionRisks	All spills, no matter where they occur, are bad. What makes oil spills offshore so damaging is the extreme challenge that is created when oil is in water. They do not mix. Read more: https://bit.ly/3G8FVRA. 
GreenEnergySavesMoney	"We are currently seeking a Site Surveyor to join our team on a part-time basis. If you are looking for a place to learn more about solar and make some extra money please read below and see if this role is a match for you.
 
The Site Surveyor will focus on surveying homes for future install sites for solar installations. This person's primary job will be surveying, taking pictures of, and documenting homes around the state of Oklahoma. The ideal candidate for this position needs to have a reliable means of transportation, be extremely reliable, and have the ability to take pictures with their smartphone and upload those pictures to our CRM application.

Skills and Requirements include but are not limited to:
- Conduct site surveys across the state of Oklahoma
- Take detailed notes and input notes into our CRM application
- Be professional and communicative with any homeowners
- Work with internal employees on completion of reports
- Complete reports in a timely manner
 
Travel Requirements:
- Travel away from home for several hours
- Ability to travel with little notice
- Reliable vehicle with a valid Oklahoma driver’s license
 
Physical Demands
- Ability to lift a minimum of 35 lbs
- Ability to work outdoors, on ladders, and in confined spaces
- Ability to work with/around electrical wires
- Ability to work remotely at construction or installation sites

Education and Experience Required
High school diploma or GED. "
EconomicAdvantagesOfRenewableEnergy	"Let's talk about the sacred wind!

Tate Topa: Tate means wind, Topa is the number 4; the Four Winds are female spirits and the Four Winds represent the cardinal directions being east, south, west and north. The north winds are cleansing, causing the leaves to fall, the western winds bring the rain, southern winds bring warmth and eastern winds brings the life of a new day. 

#IndigenousVoices #RenewableEnergy #StandingRock #SAGESRST #CommunityDevelopment #AnpetuWi #SRST #FourWinds #IndigenousPeople. "
AdvocateForGreenEnergy	Every year, birds lose more habitat to development, drilling, and climate change. This Earth Day, your new monthly gift will be matched to help protect birds and the places they need. By doing what’s good for birds, we do what’s right for the earth - creating a healthier planet together.
RestoreVirginia	"Christmas is always a season of hope.  One of the promise of good tidings of Great Joy.

But it wasn't always so.

Many know of Virginian George Washington, crossing the Delaware and defeating the British and Hessian soldiers ar the Battle of Trenton.  But few, very few understand the background and the tribulations Washington faced that Christmas Day in 1776.

For the past year, Washington had been defeated and humiliated at the Battle of Long Island, Harlem Heights, White Plains, Fort Washington and Fort Lee.  Many in Congress were calling for a new commander and his troops were leaving and going home at an alarming rate.

But Washington never gave up.

On Christmas Day, he led his army of barefoot and frozen men across the the Delaware River and achieved victory giving hope to the Patriot Cause.

But that is not the end of the story.

Through 1777 and 1778, Washington was defeated again, time after time, and the British captured the Patriot Capital of Philadelphia.  More in Congress were calling for a new Patriot leader, and his army was once again going home in alarming numbers, entire brigades were revolting and the remainder were starving and freezing in little huts at Valley Forge.

But again, Virginian George Washington did not give up.  He brought in a Prussian drillmaster named Friedrich Wilhelm von Steuben.  Realizing his men, though dedicated to the cause, badly needed training to be able to face the Redcoats on equal terms, Washington retrained his entire army and forged the army that would eventually secure total victory, right here in Virginia at Yorktown.

Why do I tell you all of this?

Because quite simply, history is repeating itself.

Flushed with victory at Trenton, many in the Patriot cause did not understand the long hard fight ahead, just like many today in Virginia do not understand the long hard battle we face.

It greatly saddens me to see so many of my fellow Virginians convinced that the victory in November has Restored Virginia.

Nothing is less true.

Red Flag Gun Confiscation, Universal Gun Registration, Lockdowns, Unconstitutional Mandates and unfettered tyranny still rules our Virginia.

And if you are are waiting on a politician to save you, well, Virginia is lost.

The State Senate is still run by the Richmond Radicals, and many of those in so called ""conservative"" leadership positions supported everything from local gun bans to creating gun-free victim zones and bureaucratic control over nearly every aspect of your life.

To sum it up, we have won a battle, but the war rages on.

If you think simply having a majority in the House of Delegates and the Governor's Mansion means all the unconstitutional actions of the last 2 years will be history, you are very, very wrong.

The victory in November was not one of a particular party, or a politician.  It was a revolution of and by the people of Virginia.  And only a continued dedication to that cause will see Virginia Restored.

Now is not the time to rest and relax...now is the time to triple our efforts.

For over 3 years, here at the Virginia Constitutional Conservatives, we have been preparing, training and fighting to begin the Revolution.  Training thousands of fellow patriots on cutting edge tactics, picking the right fights and using no compromise tactics has brought us this far.

But we have so far to go.

The battle was won, but the war still rages on.  In my 16 plus years of politics, I realize we face the most dangerous time yet,  a time when our patriots go to sleep because they think they have won, while the enemy, angry and active, is organizing to counter attack.

We cannot, we must not, rest on our laurels.

For if we do, we will be caught napping when the left-wing radicals attack.

And even worse, many of those very politicians who were elected are now refusing to fulfill their promises to overturn the tyranny the Richmond Radicals passed.

Career politicians are all the same.  They are all looking towards their next election,  and if they think the gun grabbers and socialists are a greater danger to their continued rule, they will once again backstab us all.

Like in 2019 when fake conservatives passed the Obamacare Expansion, Delegate Glenn Davis fought to open the door to make it harder to get a concealed carry permit and Delegate Bobby Orrock put in a Bill to make you take a class, and pay for a permit, just to own a gun in Virginia.

And yes, these were all ""republicans"".

So if you think having politicians who hide behind the R label in power means everything is OK, you are about to be greatly disappointed.

But this is the Season of Hope, and I am greatly hopeful.  Not because of any politician, but because of you.

When the Gun grabbers had the Governor's Mansion, the House and the Senate, you, the brave and unwavering patriots of Virginia, stepped up and fought and stopped Northam's Gun Ban and the Homemade Gun Ban.

I cannot tell you how many people told me we had zero chance of defeating these tyrannical schemes.  But together we did.

Now we face a harder fight...the fight to repeal many of the anti-gun schemes the Richmond Radicals passed.  It is very true in politics that defensive fights, stopping bad bills, is far easier than offensive fights, passing good bills.

And we have seen this already in Virginia.

Many in power in Richmond want to do, well, either nothing or simply tinkering around the edges.  That is not how wars are won.  We will not back down, we will not compromise and we will never accept crumbs that fall from the table.

We will fight for full and complete repeal of Red Flag Gun Confiscation, Repeal of Universal Gun Registration (outlawing private gun sales), ending allowing local governments to create killing zones by banning law-abiding citizens from bearing arms and passing Constitutional Carry.

Because no free individual should ever have to beg permission or pay a tax to bear arms.

And all of these efforts will be much harder than stopping any anti-gun scheme.  The enemies of Freedom are always cleverly disguised.  And the 2022 Legislative Session will flush many of them out.

With your help.

Working with Delegate Marie March (R-7), the full and complete repeal of Red Flag Gun Confiscation has been submitted.  But that is just the beginning of the fight.  Whether or not Virginia becomes the first state to repeal these un-Constitutional Gun Grabbing Scheme depends on you.

Not politicians.

So I am asking each of you to rededicate yourself to the hard work we have before us.  The battle was won, but the war continues.  And victory, in the end, depends on each of you.

I want to thank you for all you have done, but most importantly, what you will do, to Restore Virginia.

In this season of great hope, I want to wish you, and your families, a very Merry Christmas.  And that we all will take renewed devotion in the hope and joy in the message of that first Christmas.

 ""And she brought forth her firstborn son, and wrapped him in swaddling clothes, and laid him in a manger;
because there was no room for them in the inn.

And there were in the same country shepherds abiding in the field, keeping watch over their flock by night.

 And, lo, the angel of the Lord came upon them, and the glory of the Lord shone round about them: and they were sore afraid.

 And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people.

For unto you is born this day in the city of David a Saviour, which is Christ the Lord.

And this shall be a sign unto you; Ye shall find the babe wrapped in swaddling clothes, lying in a manger.

 And suddenly there was with the angel a multitude of the heavenly host praising God, and saying,

 Glory to God in the highest, and on earth peace, good will toward men.""

 

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
AdvocateForGreenEnergy	"🌱  What Environment means in our ESG: 
Tri-State’s long-standing environmental stewardship and resource management are rooted in the strong conservation ethic of our members and the rural communities they serve.

🌱This commitment begins with outstanding compliance, and goes beyond to voluntarily supporting conservation initiatives, and executing ambitious plans for dramatic and reduction of greenhouse gas emissions.

💡  Learn more about this project and many more at: https://tristate.coop/environmental-social-and-governance-report 

🌱  Morgan Creek Ranch is just one of many of Tri-State's  environmental projects:
Our commitment to Morgan Creek Ranch: 
☀️ Providing 50,000 acres of public access to Morgan Creek Ranch.
🌾 Annual habitat improvements including water management, weed control, removal or replacement of historical non-wildlife friendly fences, food plot installations.

#greenhousegas #emissions #emissionreduction #cleangrid #environment #animals #habitat #watermanagement #ghg. "
ProtectFromHarmsCausedByFossilFuels	"California’s farms help feed the nation, but not everyone has equal access to the healthy foods they produce. 

Climate change and toxic pesticides threaten our food and put farmworkers, children, and communities at-risk. 

Take action NOW and help push for a just and equitable farming system in California!"
AntiWoke	"The White House needs to stop abusing its power and working with social media companies like Facebook to censor Republicans. 

Our First Amendment protects all Americans’ right to free speech without government intervention. Americans deserve to know what the executive branch is doing with these companies.

Read the letter below from myself and my Republican colleagues on the House Oversight and Reform Committee to the U.S. Surgeon General requesting all documented communication between their office and companies like Facebook and Twitter."
StopOilPollution	The latest impact of climate change, poison ivy is more abundant than ever. 
EconomicAdvantagesOfRenewableEnergy	25 peer-reviewed studies have all shown that living near wind turbines doesn’t have adverse effects on human health, and wind power’s role in reducing air pollution can contribute to positive health outcomes. Read more: https://to.pbs.org/3mV2vnS. 
AdvocateForGreenEnergy	Keep air clean in Maryland for generations to come. Like our page to learn more about our largest source of carbon-free electricity.
TackleClimateChange	Find out why climate scientists agree that climate change causes more extreme droughts, bigger fires, and deadlier heat.
OilAndGasExtractionRisks	Stephanie Bice is committed to the people of Oklahoma. She fights to help our veterans, end wasteful government spending, and for our oil & gas industry. Democrats want her out of Congress - she NEEDS your help right now to stop their attacks. Rush in a donation now before the monthly deadline to support Oklahoma’s proven conservative leader!
NuclearEnergyBenefits	Question 1 gives politicians the power to impose dangerous retroactive laws, slowing job creation and Maine’s economy.
EconomicAdvantagesOfRenewableEnergy	Researchers from the National Renewable Energy Laboratory are developing hybrid power plants that combine clean power generation with energy storage, resulting in a reliable, flexible energy system powered by renewable sources.
LegislatorsMustActAgainstClimateChange	Crime is on the rise in California. I will do everything in my power to keep our communities safe. Vote for Kevin Kiley for Governor.
AntiTax	"“Big spender, big taxer.”
Kim McCarthy loves to increase taxes. 
Not just yours, but for everyone. 

She thinks your 💴 money is her money.
It this “progressive socialist” believes and she will be coming for more of it if elected.

Will she increase  taxes? Count on it.

Kim McCarthy should never have the power to tax your family or your homes."
OilAndGasExtractionRisks	"OGWA is excited to welcome back to the Permian Basin Lieutenant Colonel Allen West. 

Get tickets for this August 25th event here.
Limited VIP tables available.
Email events@ogwaUSA.com

https://www.eventbrite.com/e/oil-gas-workers-association-welcomes-lieutenant-colonel-allen-west-tickets-166411923543

#ogwausa #oilandgas #oilandgasworkers #AllenWest #permianbasin #midlandtx #odessatx. "
NuclearAdvocacy	Want solar panels but can’t afford them? In Wisconsin, you’re out of luck. That’s why WI needs third-party solar.
NuclearEnergyBenefits	"One in every three bites of food we eat depends on bees and other pollinators! 🐝🍎

But rampant toxic pesticide use, climate change, and habitat loss are killing bees, which could lead to food scarcity that would hit low-income communities and communities of color especially hard. NRDC is fighting to protect bee populations and secure the future of our food supply."
AdvocateForGreenEnergyPoliticalAction	Your electric co-op powers your community. VCP empowers you.
ProtectFromHarmsCausedByFossilFuels	"Act Now: Days ago, over 100,000 gallons of oil spilled into the coastal waters of Orange County. As a result, thousands hazardous chemicals are  covering over 8,300 acres of precious coastal waters. Enough is enough. Tell Governor Newsom to end oil permits today! 

 📸: Peter Bennett. "
ChallengesFacingRenewableEnergy	"Joining us for the Women of the Movement Anpetu Wi Dialogue this month is Tara Houska (Couchiching First Nation). She is an attorney, an environmental and Indigenous rights advocate, as well as the founder of Giniw Collective and the former advisor on Native American Affairs to Senator Bernie Sanders. Take a moment before our discussion to get to know her and watch Tara's TED Talk where she speaks to the history of attempts by government and industry to eradicate the legitimacy of Indigenous peoples' land and culture, including the months-long standoff here at Standing Rock.

We are honored to have her join us for our live discussion on May 20th - don't miss it: https://fb.me/e/RXMLppau. "
