text,name,Annotation
"The fucking IRONY of all you asshole tweeters from yesterday ARE IN DONLODS LISTENING TO

COVID VACCINE SHIT 😂

Tweet about it … come on… keep that same energy Ladies or youre full of shit ha ha ha ha",covid related deaths,0
@breequigs Preach. The covid vaccine has no proof of stopping people from catching it lol.. there are also studies stating people are at higher risk of alzheimers,inefficacy of vaccine,1
@SnewtyHuxtable i got my flu shot a few months ago and that needle felt big. i didnt feel this covid vaccine at all . but yea ppl been telling me second one is the one that hurts and has the possible side effects,wholesome reactions to getting the vaccine,0
"Got my second #covid_19 vaccine let’s hope it doesn’t kick my ass like the first one did! @ Northwest Oklahoma City, Oklahoma City, Oklahoma https://t.co/0J7kh9lDUR",state vaccine eligibility,0
"@HaydenWDRB Joe Biden says the JnJ vaccine can be given to everyone who wants one by May. 

Texas may be getting an early start, but someone has to be first. We can’t stay sheltered, masked, + social distanced into perpetuity. Odds are if you didn’t get covid by now, you probably never will.",trump supporters saying biden is wrongfully taking credit for vaccine,0
"READ THIS. THEN TELL ME YOU DO NOT WANT THE VACCINE. 
https://t.co/eVg4ZNdiVz.",covid related deaths,0
"@bennyjohnson @JennaEllisEsq America's largest covid super spreader event. They sent them all over the country to keep the case numbers high, keep the fear alive, and push for vaccine mandates.",criticism of governments' response to vaccine,0
@jdvance you stupid f@ck. Could you pander a bit more? By the way 40% of your base thinks a deadly livestock de-wormer is better than a vaccine for Covid and a chunk attacked our capital. Be careful who you compare. I bet you think Afghanistan is in the Middle East don’t you? https://t.co/7nZA4BgbcF,covid related deaths,0
Police called to Waterford CVS after group from New York shows up for Covid vaccine https://t.co/ATBByWB0gv,anti-vaccine conspiracy outcomes,0
why people post the Covid vaccine card for? Lmao 😭 no hard feelings just asking man.,anti-vaccine conspiracy outcomes,0
"@khnorthrupesq @KCH_76 @jbendery States DO have money (some federal), plans and skills to deal with health crises and vaccine administration. Each state has different needs; Alaska is very different from FL.
READ:
https://t.co/uKGXBPUFLO",criticism of governments' response to vaccine,0
I captured a photo of anti-bodies from the Covid vaccine attacking the coronavirus. Science is amazing. https://t.co/iHIpfliK3m,anti-vaccine conspiracy outcomes,0
"@NealKlomp @irenerabinowitz @SteveGoldstein1 @RothsReviews What you are seeing is a distortion of normal reality. And the way people are reacting is causing more problems. Plus, the vaccines are killing more people than their saving. So those deaths are being chalked up to covid when they are really vaccine deaths",anti-vaccine conspiracy outcomes,1
@lisalucianndeux @HStarshot @KylaInTheBurgh I have the same immunity you do and didn't risk dying from COVID-19 infection to get it. Got vaccine instead...a centuries old prevention method. See how that works?,inefficacy of vaccine,0
@AAN @RepGonzalez That socialize medication crap you have all over the tv gave the Covid-19 vaccine free of charge to the American public. What would you want them to charge each person given a vaccine? Why don't you tell the American public which pharmacy companies contributes to your overhead?,trump supporters saying biden is wrongfully taking credit for vaccine,0
Rollout of Covid vaccine seems to be a disaster in US so far. It's easy to blame lack of federal leadership but at end of day States/Cities had months to develop infrastructure and plans. #HappyNewYear2021,trump supporters saying biden is wrongfully taking credit for vaccine,0
"""US regulators give full approval to Pfizer COVID-19 vaccine""  https://t.co/EGuYmGrYg7",family covid vaccine experience,0
"1,211 new Covid cases in Utah today and ICU beds at 89 capacity. If you aren’t vaccinated it’s time to do the needful and get a vaccine.",anti-vaccine conspiracy outcomes,1
Different nations incorporate their own particular style to protest 🪧 COVID VACCINE PASSPORT 🛂 MANDATES! @ArlingtonVA @AlexandriaVAGov @FallsChurchGov @fairfaxcounty @LoudounCoGovt @pwcgov @MontgomeryCoMD @HowardCountyMD @PrinceGeorgesMD https://t.co/dMhZXHwkmF,proof of vaccine,0
Mad cause the exit was blocked for Covid vaccine only..dang it @ Oakland Collisuem https://t.co/kNwEKFmayd,covid related deaths,0
"@CWBlackwell @PessimistsArc More importantly, ""Reports to VAERS of death following vaccination do not necessarily mean the vaccine caused the death.""

The same people who scrutinize COVID death numbers eagerly count every death after the vaccine as correlated.",anti-vaccine conspiracy outcomes,1
"I’m convinced that drinking so much water from Mt Shasta trip last May kept me safe from getting COVID until I got full vaccine. I drank from this clear volcanic spring creek 4 straight mornings, healed my blisters too. Really some holy water coming from that magic mountain 🙏🏼🗻 https://t.co/evGJRpCfhF",family covid vaccine experience,0
"Happy Friday! 

Today is a great day to get vaccinated if your aren’t already. The COVID-19 vaccine is safe, effective, and FREE! #GetVaccinated #vaccinated 

https://t.co/0mla9KT0vZ",wholesome reactions to getting the vaccine,0
"3) How my fall looks if everyone gets a vaccine! 
#VaxUpInTheSip💉
#VaxItDSU💚 
Let’s #RockBottom COVID-19. @TheRock https://t.co/X8O7YApuab",wholesome reactions to getting the vaccine,1
No more vaccinations at Affinity. But Please visit the GCC site below for Pop Up Vaccine locations https://t.co/hMysyMSo6j https://t.co/9lZktRahL4,state vaccine eligibility,0
"The journey of the COVID-19 Vaccine included many phases of research, development, and clinical trials on tens of thousands of volunteers. Learn about the vaccine at https://t.co/6Y9OBNq0jl. #MaskUpMichigan https://t.co/US1nqvVdZn",criticism of governments' response to vaccine,0
@ZerikaGarrand hi baby I got my covid vaccine this morning https://t.co/pR8D57JKDn,family covid vaccine experience,1
got my second pfizer covid vaccine yesterday and feel fine aside from a few headaches! no soreness or anything,side effects of vaccine,1
The Covid vaccine has symptoms blah blah blah bitch every vaccine has symptoms,immediate personal side effects,0
Florida | Snowbirds upset after Florida announces residency requirements to get COVID-19 vaccine https://t.co/sEX8X0uk2e,criticism of governments' response to vaccine,0
Scientists’ Review Indicates that COVID-19 Vaccine Boosters are Not Indicated for the General Population https://t.co/w7e9geKQqP #COVID19 #covid #CovidVaccine #vaccineboosters @nytimes @US_FDA @CDCgov,wholesome reactions to getting the vaccine,0
COVID Vaccine (Pfizer) Clinic today! 10-1pm at the Multicultural Student Services Center! Walk ins welcome! #uristudentaffairs #thinkhealthywedo #rhodytogether #uri @ URI Multicultural Student Services Center https://t.co/xB1Lk1pSax,pharmacy hiring,0
Faisal sultan you giving advice to people get vaccine when you get the Covid vaccine let’s we can see get the Covid vaccine  front of TV https://t.co/BRbZLLbBf1,covid related deaths,0
"Cape Coral Fl.  The owner, Dr Joseph Mercola, the owner of a 104 employee natural natural health suplements business, is claiming the COVID vaccine is dangerous and should be avoided.  He is a well known member of the anti- vax movement and a proponent of natural medications.",proof of vaccine,0
"If you need me, I’ll be sleeping off the second COVID vaccine because every single joint I have aches. #StillWorthIt",family covid vaccine experience,0
"This man is talking to me about covid being a govt scam. Im bout to start cussin. Cause who said the vaccine is out here CURING covid? You’re uneducated, you’re worthless and you’re dumb… stop talking to me🙄",anti-vaccine conspiracy outcomes,1
"Today will be the last day the Covid-19 #vaccine will be given at the Safe Room on Lynn Ln. They will take patients until 3pm and you do not need an appointment. After today you can receive the vaccine at the @msdh clinic on Yeates St on Mon, Tues &amp; Thurs. https://t.co/GDxeCV0a4v",family covid vaccine experience,0
Get the covid vaccine they said but they don’t tell you how miserable it’ll make you feel after🙄🙄,anti-vaccine conspiracy outcomes,0
Guess the COVID vaccine ain’t meet its quota.. they finna turn the virus back on lol,wholesome reactions to getting the vaccine,0
Would you hang out and socialize with someone who refuses to get the COVID-19 vaccine?,covid related deaths,0
‘I wasn’t reluctant’: Mitch McConnell pushes Republican men to get COVID-19 vaccine https://t.co/yqi5wOo9u9 via @washtimes,criticism of governments' response to vaccine,0
@rrateliff @FredFleitz @JoeBiden Thank a draft dodging con man who denied covid was a pandemic while secretly getting the vaccine in January? No thx.,covid related deaths,0
"@mtgreenee Ms. Greene:   if even one person decides against taking the vaccine based on your snake oil ""logic"", and later contracts Covid, you have blood on your hands.   How do you reconcile that with your so-called Christian beliefs?",covid related deaths,0
Hey world I just want you to know I got the #JohnsonandJohnson #covid #vaccine 💉 and I feel like an all American winning machine #selfcheers @steveaustinBSR https://t.co/7EGlpAxqtd,wholesome reactions to getting the vaccine,1
"I’m happy to say the same is now true with Covid and vaccines. And I will continue to dunk on the persistent vaccine skeptics just as hard as I dunk on the seatbelt skeptics.  Safety measures aren’t conspiracy theories, ya jack-wagon. 2/2 https://t.co/3jidf52SiM",covid related deaths,0
"By Biden logic, he should be directly responsible for for every covid death since he took office, just like he claims led trump was responsible despite trumps great success with covid vaccine and efforts...Biden I’d a liar!  #LyinBiden",trump supporters saying biden is wrongfully taking credit for vaccine,1
A link to a full story from @NPR : https://t.co/u31oI7sJVf,anti-vaccine conspiracy outcomes,0
"@Got_Leadership @stltoday 4.) and finally, as a healthcare worker I’m tired of my job being threatened due concerns about the OR stability, I’m tired of having the ER’s taxed, and frankly, I’m tired of having Covid-19 coughed in my face by morons refusing a simple vaccine.",covid related deaths,0
Being a n ICU Nurse We are so frustrated because we are still seeing patients who are dying from Covid. I have seen them as young as 18 and as old as 94. People may dismiss the 94 year old but their families don’t. Please get the FUCKING vaccine. 💉 https://t.co/fM5MrWaDpc,covid related deaths,1
Anti-Vaxxer Steals COVID Vaccine Vials in Bizarre Confrontation https://t.co/nIC9T6JieH,criticism of governments' response to vaccine,0
Next I get the shot #covid_19 #vaccine #mosconecenter #myshot #fonseca #fonsecashow #aaronfonseca_official @ Moscone Center https://t.co/dSszRCHWNo,wholesome reactions to getting the vaccine,0
"I hope Biden addresses the real issues Americans want to hear about tonight at the #CNNTownHall — like why the COVID-19 vaccine rollout has been so badly botched and timelines for widespread vaccinations, and also why there isn't a size of ice cream between a pint and a quart.",trump supporters saying biden is wrongfully taking credit for vaccine,0
"@GEEPENNIN I feel angry at their stupidity. 
The unvaccinated are choosing to die from Covid and potentially take those of us who are vaccinated with them. By choosing not to vaccinate they run the risk of allowing covid to mutate into a variant that our vaccine doesn’t work on. 
Selfish.",anti-vaccine conspiracy outcomes,1
