theme,top_25_tweets,Annotation
criticism of governments' response to vaccine,"Lack of a unified message.
Who Are the COVID Vaccine 'Holdouts'? https://t.co/KUq38ElsKG",1
wholesome reactions to getting the vaccine,"Proud to be a #NYCVaxChamp and get my second COVID-19 vaccine at @NYCHealthSystem today! #IGotTheShot so I can eventually visit my mom &amp; little brother after over a year of not visiting home, protecting my community &amp; patients, travel, &amp; eat at restaurants indoors when it’s safe https://t.co/v0AOLDYyXx",1
anti-vaccine conspiracy outcomes,@FPWellman Thousands of covid orphans because parents refused a simple vaccine,1
wholesome reactions to getting the vaccine,Just got my first dose of the covid vaccine! So thankful for all the scientists and frontline workers who have made it possible!,1
family covid vaccine experience,1st COVID vaccine today!🤩,0
family covid vaccine experience,My mom just called my oldest son was able to schedule her COVID vaccine!,1
criticism of governments' response to vaccine,Biden COVID czar calls Trump vaccine planning 'so much worse than we could have imagined' https://t.co/R3EqSoiT3C via @thehill,1
criticism of governments' response to vaccine,Shout out to @RepTedDeutch for sending out clear info to folks about South Floridians getting access to the COVID vaccine 👏🏻👏🏻👏🏻 https://t.co/oe0A1Plh3T,0
family covid vaccine experience,"@HiraethResists Yep her 40 year old daughter, husband and 4 kids all got covid. Her daughter almost got sent to the hospital. She said well I guess they all will get she vaccine now. 

Yep this is the life I live.",1
wholesome reactions to getting the vaccine,I got the Covid vaccine today 👀,1
immediate personal side effects,The #Covid Vaccine wasn't much different than any of the Flu vaccines were. Mild fever and slightly sore arm for a day or so. 2nd Pfizer nothing happened at all for me. https://t.co/QC3wEVSh1F,1
wholesome reactions to getting the vaccine,"My health clinic wrote me today, saying I’m nearing the top of the list to get my COVID-19 vaccine. See? Getting old and having multiple pre-existing health conditions can be worth it!",0
wholesome reactions to getting the vaccine,Pfizer Covid-19 Vaccine For Kids 12-15 Set For Approval By FDA | TODAY https://t.co/5Sha5jjd3p via @YouTube,0
wholesome reactions to getting the vaccine,"@MdotWhitee Yea. I got the vaccine but they said I have a lot of covid antibodies. I think the vaccine sent me to the hospital. They saying since most of the pneumonia cleared up, I can go home 😭",0
family covid vaccine experience,I just made my appointment to get the Covid vaccine.,0
inefficacy of vaccine,"@AtilaLabeinus @bmlap1 @hankgreen Sure. A vaccine doesn’t kill off covid. Not arguing it will. 

It’ll save a lot of lives though. Yes we may need future vaccines. We get a new flu shot every year after all.",0
inefficacy of vaccine,"@kingdomofwench @BioTurboNick Both groups should respond to the same message. Getting COVID is bad, much worse than any potential side effects of the vaccine. Not sure where I moved goal posts. I said focusing on breakthrough infections without mentioning the benefits for disease severity is not ideal.",0
family covid vaccine experience,Still waiting for getting the Covid Vaccine!,0
vaccine side effects/ Nicki Minaj,"Open SmartNews and read ""Death of Florida doctor after receiving COVID-19 vaccine under investigation"" here: https://t.co/S7mUSvvPwd 
To read it on the web, tap here: https://t.co/Sn0TQv1JAz",0
non-covid vaccine comparision,"@monorailtimes @orlandosentinel @GovRonDeSantis Honestly there’s only one way out of this: Immunity from vaccine and immunity by infection. 

if 80 million eligible Americans opt for the latter, we will lose 1.5 million more ppl to covid before this is over, assuming future variants aren’t more deadly…",0
criticism of governments' response to vaccine,"Florida has &gt;1,070,000 #CovidVaccines waiting to be administered. Of 5.3 million Floridians prioritize only 402,802 ppl have been vaccinated. WE MUST DO BETTER

@HealthyFla @GovRonDeSantis @JayerWilliamson @DougBroxson @HealthyEscambia @FLHealthEmerald 

https://t.co/gfceziVx5y https://t.co/2dLHsZpLfW",1
family covid vaccine experience,"Got my first COVID vaccine shot today! So grateful for the Abilene FD and others who are making this available. #immunization #covidvacccine @ Abilene, Texas https://t.co/KWyvmVTxvi",0
anti-vaccine conspiracy outcomes,"Man ... Wait until people find out they can get the ACTUAL vaccine for free. 🤯

https://t.co/PCI0UoXGlo",0
proof of vaccine,PETITION: No to mandatory vaccination for the coronavirus https://t.co/1zUXHBCnsO,0
criticism of governments' response to vaccine,#COVID #vaccine #FREE until supplies last. #hounews #houstontx #houston #CovidVaccine #CoronaVirusUpdates #Texas https://t.co/FTipcG9x1O,0
anti-vaccine conspiracy outcomes,"Three Lame Arguments for the Covid Vaccine

https://t.co/ScCX7zfmk6",0
trump supporters saying biden is wrongfully taking credit for vaccine,"President Joe Biden, VP Kamala Harris, Dr. Fauci seeing Covid-19 Vaccines supplies not number of people wanting to get a vaccine. If America has a surplus of Vaccines we should start sharing with your Allies will put America first again restore respect. Making GOP looking stupid. https://t.co/rJpmuEsqvG",0
wholesome reactions to getting the vaccine,The F.D.A. authorized a third dose of Covid vaccines for immunocompromised people. https://t.co/FHSHWVrCXM,0
anti-vaccine conspiracy outcomes,"That is a flat out lie @mtgreenee…. People are dying from Covid because they have NOT had the vaccine.. Get your facts straight. Maybe you should use your brain before you tweet, oops you don’t have one.. 🤷🏼‍♂️ https://t.co/hiGzKe772Z",1
wholesome reactions to getting the vaccine,In line to get my 1st dose of @moderna_tx Covid 19 vaccine! #SouthLakeStrong #Vaccinated #EssentialWorker #HealthcareWorkers #ThinkAudiology https://t.co/HtOd5fQ2D9,0
family covid vaccine experience,2nd dose of the COVID-19 vaccine done. it takes a village... @NorfolkVA @CityofVaBeach @vbschools @TallwoodLions https://t.co/UUpHt2LoER,0
wholesome reactions to getting the vaccine,Just received my second dose #COVID-19 vaccine!!! My household is fully #vaccinated  #Pfizer  #JohnsonAndJohnsonVaccine 😇🙌🏾 https://t.co/gdUaSyw8ki,1
anti-vaccine conspiracy outcomes,I got my COVID-19 vaccine #covid_19 #covid #covidvacccine #covidselfie #covidseattle #uw #longtimecoming @ Northwest Hospital University of Washington https://t.co/LFNiWP0duF,0
anti-vaccine conspiracy outcomes,"this is how people are looking @ vaccines or we wouldn’t have to mandate them. I think some of the antivaccers for COVID fail to remember how many vaccines you get from the ages 1-18. Do better, do the CORRECT research and DONT lose your job over a damn vaccine. https://t.co/vChJh1kLEc",1
trump supporters saying biden is wrongfully taking credit for vaccine,@benshapiro I guess Joe forgot getting his COVID vaccine while President Trump was in office. Without Trump and Operation Warp Speed I don’t think we would have vaccines.,1
family covid vaccine experience,Mom and pops were able to receive their first round of the Covid vaccine today. So happy its one step closer for them to have peace of mind.,1
vaccine certification,🦠 💉 #COVID19Vaccine is being offered to #BostonUniversity students &amp; staff on campus all this week to people who need their 1st shot. BU students are required to show proof of vaccination to attend classes this Fall #7News ➡️ https://t.co/xpUpQDQKI6 https://t.co/CmZWVrupdt,1
anti-vaccine conspiracy outcomes,"@CraigVecellio @HelleMax @K_Floyd20 @RonFilipkowski Why are the people who are dying from Covid, the ones who didn't take the free fake vaccine?",1
anti-vaccine conspiracy outcomes,"Ok... @TuckerCarlson 

You have lied since the very beginning about covid and the vaccine there is proof of it every single day since last January...

So why are you all of a sudden pro vaccine... Who's about to sue you Tucker?

Tell us we don't like to know? 😏 https://t.co/PrsJJfnEzH",1
trump supporters saying biden is wrongfully taking credit for vaccine,"Immunization administration authorized ✅ Let’s save the world.

GET YOUR COVID-19 VACCINE! 💉",0
wholesome reactions to getting the vaccine,".@Denise4Sparks and I are fully vaccinated!!! What a long year this has been, but there’s finally light at the end of the tunnel. Thank you @ImmunizeNV for everything. If you’re over 16, visit https://t.co/abnHFm3EBx to find where you can make an appointment! https://t.co/1I8CyNIU7H",1
inefficacy of vaccine,"@LilFlyte31 That's true folks are still contacting Covid cuz they around folks haven't been vaccinated. Only thing the vaccine does is keep you from getting sicker, like the flu shot. Still can catch it, I just won't be walking and using the restroom on myself and not breathing normally.",0
wholesome reactions to getting the vaccine,Thankful for my second Covid-19 vaccine today. #shotofhope @ Kroger Field https://t.co/WTapxL4fjT,1
wholesome reactions to getting the vaccine,Second Covid vaccine got me feeling like https://t.co/exWODUBWNb,0
state vaccine eligibility,"So, @KeithPaesel, like millions of other food service workers, is finally eligible to get a COVID-19 vaccine here in L.A. County, but there are no appointments available at area pharmacies and the MyTurn website keeps crashing 🙃",0
